Mode,Start_Time,Animal,Unit
0,2026-03-04 00:11:36.014329,12183150139,4
0,2026-03-04 00:11:37.898415,12183150139,3
OPEN,2026-03-04 00:11:57.898944,0,0
0,2026-03-04 00:13:48.284765,12183150139,3
0,2026-03-04 00:13:52.393738,12183150139,4
OPEN,2026-03-04 00:14:12.394242,0,0
0,2026-03-04 00:29:32.332882,121853457,4
0,2026-03-04 00:29:34.738381,121853457,3
OPEN,2026-03-04 00:29:54.738977,0,0
0,2026-03-04 00:31:59.304402,121853457,3
0,2026-03-04 00:32:01.376419,121853457,4
OPEN,2026-03-04 00:32:21.376813,0,0
0,2026-03-04 00:36:52.168182,121853457,4
0,2026-03-04 00:36:55.724244,121853457,3
OPEN,2026-03-04 00:37:15.725025,0,0
0,2026-03-04 00:38:45.064339,121853457,3
0,2026-03-04 00:38:57.611606,121853457,4
OPEN,2026-03-04 00:39:17.612088,0,0
0,2026-03-04 00:44:08.392554,121868476,4
0,2026-03-04 00:44:09.858459,121868476,3
OPEN,2026-03-04 00:44:29.858983,0,0
0,2026-03-04 00:46:25.949590,121868476,3
0,2026-03-04 00:46:28.739979,121868476,4
OPEN,2026-03-04 00:46:48.740771,0,0
0,2026-03-04 00:52:48.982158,12183150139,4
0,2026-03-04 00:52:50.534066,12183150139,3
OPEN,2026-03-04 00:53:10.534647,0,0
0,2026-03-04 00:57:04.014668,121857984,4
0,2026-03-04 00:57:06.095132,121857984,3
OPEN,2026-03-04 00:57:26.095647,0,0
0,2026-03-04 00:58:51.061917,12183150139,3
0,2026-03-04 00:58:53.992677,12183150139,4
OPEN,2026-03-04 00:59:13.993102,0,0
0,2026-03-04 01:01:29.041665,121857984,3
0,2026-03-04 01:01:32.226826,121857984,4
OPEN,2026-03-04 01:01:52.227261,0,0
0,2026-03-04 01:02:07.826967,12186196220,4
0,2026-03-04 01:02:10.619679,12186196220,3
OPEN,2026-03-04 01:02:30.620651,0,0
0,2026-03-04 01:03:06.723789,12186196220,3
0,2026-03-04 01:03:09.430773,12186196220,4
OPEN,2026-03-04 01:03:29.431283,0,0
0,2026-03-04 01:03:57.439628,12186196220,4
0,2026-03-04 01:03:58.622766,12186196220,3
OPEN,2026-03-04 01:04:18.623338,0,0
0,2026-03-04 01:04:37.409955,121868476,3
0,2026-03-04 01:04:38.229981,121868476,4
OPEN,2026-03-04 01:04:58.230438,0,0
0,2026-03-04 01:08:00.380025,121857984,4
0,2026-03-04 01:08:01.721468,121857984,3
OPEN,2026-03-04 01:08:21.722309,0,0
0,2026-03-04 01:08:48.975563,12186196220,3
0,2026-03-04 01:08:50.474508,12186196220,4
OPEN,2026-03-04 01:09:10.474983,0,0
0,2026-03-04 01:11:52.978824,121857984,3
0,2026-03-04 01:11:55.502614,121857984,4
OPEN,2026-03-04 01:12:15.503043,0,0
0,2026-03-04 01:12:33.312968,121857984,4
0,2026-03-04 01:12:35.929990,121857984,3
OPEN,2026-03-04 01:12:55.930520,0,0
0,2026-03-04 01:14:28.053091,121868476,4
0,2026-03-04 01:14:29.214980,121868476,3
OPEN,2026-03-04 01:14:49.215671,0,0
0,2026-03-04 01:15:11.118564,121857984,3
0,2026-03-04 01:15:12.976263,121857984,4
OPEN,2026-03-04 01:15:32.977137,0,0
0,2026-03-04 01:17:11.259654,121868476,3
0,2026-03-04 01:17:12.205621,121868476,4
OPEN,2026-03-04 01:17:32.206309,0,0
0,2026-03-04 01:21:57.486620,12186196220,4
0,2026-03-04 01:21:58.633289,12186196220,3
OPEN,2026-03-04 01:22:18.634231,0,0
0,2026-03-04 01:23:12.995458,12183150139,4
0,2026-03-04 01:23:15.652591,12183150139,3
1,2026-03-04 01:23:17.944651,121868476,4
followerB,2026-03-04 01:23:17.946332,0,0
1,2026-03-04 01:23:19.486458,121868476,3
OPEN,2026-03-04 01:23:39.486990,0,0
0,2026-03-04 01:23:43.351676,121868476,3
0,2026-03-04 01:23:44.628085,121868476,4
OPEN,2026-03-04 01:24:04.627776,0,0
0,2026-03-04 01:25:41.335852,121857984,4
0,2026-03-04 01:25:42.577526,121857984,3
OPEN,2026-03-04 01:26:02.578599,0,0
0,2026-03-04 01:26:57.474348,12186196220,3
0,2026-03-04 01:26:59.338720,12186196220,4
OPEN,2026-03-04 01:27:19.339380,0,0
0,2026-03-04 01:30:08.042547,12183150139,3
0,2026-03-04 01:30:10.131262,12183150139,4
OPEN,2026-03-04 01:30:30.132017,0,0
0,2026-03-04 01:30:55.370852,121868476,4
0,2026-03-04 01:30:57.403235,121868476,3
OPEN,2026-03-04 01:31:17.404359,0,0
0,2026-03-04 01:31:20.066883,121868476,3
0,2026-03-04 01:31:20.731993,121868476,4
OPEN,2026-03-04 01:31:40.732661,0,0
0,2026-03-04 01:35:22.147612,121857984,3
0,2026-03-04 01:35:23.890575,121857984,4
OPEN,2026-03-04 01:35:43.891434,0,0
0,2026-03-04 01:38:04.882379,121868476,4
0,2026-03-04 01:38:05.862663,121868476,3
OPEN,2026-03-04 01:38:25.863294,0,0
0,2026-03-04 01:40:16.504418,121868476,3
0,2026-03-04 01:40:17.332679,121868476,4
OPEN,2026-03-04 01:40:37.333435,0,0
0,2026-03-04 01:43:27.092444,12186196220,4
0,2026-03-04 01:43:28.232227,12186196220,3
OPEN,2026-03-04 01:43:48.233018,0,0
0,2026-03-04 01:48:06.320473,121857984,4
0,2026-03-04 01:48:07.943133,121857984,3
OPEN,2026-03-04 01:48:27.943980,0,0
0,2026-03-04 01:49:42.312881,12186196220,3
0,2026-03-04 01:49:44.847430,12186196220,4
OPEN,2026-03-04 01:50:04.848209,0,0
0,2026-03-04 01:50:52.515926,121857984,3
0,2026-03-04 01:50:54.597002,121857984,4
OPEN,2026-03-04 01:51:14.597572,0,0
0,2026-03-04 01:52:29.452630,121868476,4
0,2026-03-04 01:52:30.579055,121868476,3
OPEN,2026-03-04 01:52:50.579666,0,0
0,2026-03-04 01:52:55.296317,121868476,3
0,2026-03-04 01:52:56.201389,121868476,4
OPEN,2026-03-04 01:53:16.202041,0,0
0,2026-03-04 01:57:40.547884,121857984,4
0,2026-03-04 01:57:52.348524,121857984,3
OPEN,2026-03-04 01:58:12.349488,0,0
0,2026-03-04 01:58:55.537509,121857984,3
0,2026-03-04 01:58:59.859479,121857984,4
OPEN,2026-03-04 01:59:19.860073,0,0
0,2026-03-04 01:59:38.101487,121857984,4
0,2026-03-04 01:59:44.035768,121857984,3
1,2026-03-04 01:59:47.188932,121868476,4
followerB,2026-03-04 01:59:47.190723,0,0
1,2026-03-04 01:59:48.420724,121868476,3
OPEN,2026-03-04 02:00:08.421520,0,0
0,2026-03-04 02:00:09.805262,121857984,3
0,2026-03-04 02:00:21.113140,121857984,4
OPEN,2026-03-04 02:00:41.114054,0,0
0,2026-03-04 02:01:10.873792,121868476,3
0,2026-03-04 02:01:11.529003,121868476,4
OPEN,2026-03-04 02:01:31.529860,0,0
0,2026-03-04 02:01:39.927123,12183150139,4
1,2026-03-04 02:01:41.499163,121857984,4
followerB,2026-03-04 02:01:41.500746,0,0
0,2026-03-04 02:01:42.183992,12183150139,3
1,2026-03-04 02:01:42.956201,121857984,3
OPEN,2026-03-04 02:02:02.957051,0,0
0,2026-03-04 02:06:37.753393,121857984,3
0,2026-03-04 02:06:48.556255,121857984,4
OPEN,2026-03-04 02:07:08.556700,0,0
0,2026-03-04 02:07:39.444118,12183150139,3
0,2026-03-04 02:07:41.646729,12183150139,4
OPEN,2026-03-04 02:08:01.647176,0,0
0,2026-03-04 02:11:45.764809,12186196220,4
0,2026-03-04 02:11:47.098720,12186196220,3
1,2026-03-04 02:11:51.691616,12183150139,4
followerB,2026-03-04 02:11:51.693496,0,0
1,2026-03-04 02:11:54.864299,12183150139,3
OPEN,2026-03-04 02:12:14.865204,0,0
0,2026-03-04 02:16:26.992379,12186196220,3
1,2026-03-04 02:16:28.298914,12183150139,3
followerA,2026-03-04 02:16:28.300759,0,0
0,2026-03-04 02:16:29.339253,12186196220,4
1,2026-03-04 02:16:30.087111,12183150139,4
OPEN,2026-03-04 02:16:50.087856,0,0
0,2026-03-04 02:17:15.462488,121868476,4
0,2026-03-04 02:17:16.729963,121868476,3
OPEN,2026-03-04 02:17:36.730938,0,0
0,2026-03-04 02:19:39.204709,121868476,3
0,2026-03-04 02:19:40.049694,121868476,4
OPEN,2026-03-04 02:20:00.050137,0,0
0,2026-03-04 02:20:08.911337,121857984,4
0,2026-03-04 02:20:10.949483,121857984,3
OPEN,2026-03-04 02:20:30.950079,0,0
0,2026-03-04 02:21:27.250627,121857984,3
0,2026-03-04 02:21:30.290277,121857984,4
OPEN,2026-03-04 02:21:50.290765,0,0
0,2026-03-04 02:21:54.418340,121857984,4
0,2026-03-04 02:22:00.403605,121857984,3
OPEN,2026-03-04 02:22:20.404160,0,0
0,2026-03-04 02:26:52.564126,121857984,3
0,2026-03-04 02:26:54.284559,121868476,4
1,2026-03-04 02:27:05.253647,121868476,4
1,2026-03-04 02:27:16.493528,121857984,3
2,2026-03-04 02:27:17.854893,121868476,3
OPEN,2026-03-04 02:27:37.855811,0,0
0,2026-03-04 02:27:45.325966,121857984,3
1,2026-03-04 02:27:47.261310,121868476,3
followerA,2026-03-04 02:27:47.263174,0,0
0,2026-03-04 02:27:56.361974,121857984,4
1,2026-03-04 02:27:57.590652,121868476,4
OPEN,2026-03-04 02:28:17.591331,0,0
0,2026-03-04 02:31:51.541301,121868476,4
0,2026-03-04 02:31:52.714358,121868476,3
OPEN,2026-03-04 02:32:12.714735,0,0
0,2026-03-04 02:32:20.589339,121868476,3
0,2026-03-04 02:32:21.259372,121868476,4
OPEN,2026-03-04 02:32:41.259799,0,0
0,2026-03-04 02:34:58.276975,121857984,4
0,2026-03-04 02:34:59.900669,121857984,3
1,2026-03-04 02:35:00.477537,12186196220,4
followerB,2026-03-04 02:35:00.479295,0,0
1,2026-03-04 02:35:01.901820,12186196220,3
OPEN,2026-03-04 02:35:21.902830,0,0
0,2026-03-04 02:35:29.146235,12186196220,3
0,2026-03-04 02:36:09.508980,12186196220,4
OPEN,2026-03-04 02:36:29.509865,0,0
0,2026-03-04 02:36:34.475794,12186196220,4
0,2026-03-04 02:36:48.052822,12186196220,3
OPEN,2026-03-04 02:37:08.053851,0,0
0,2026-03-04 02:37:11.232890,12186196220,3
1,2026-03-04 02:37:24.399213,121857984,3
followerA,2026-03-04 02:37:24.400973,0,0
0,2026-03-04 02:37:29.874261,12186196220,4
1,2026-03-04 02:37:31.583135,121857984,4
OPEN,2026-03-04 02:37:51.583623,0,0
0,2026-03-04 02:42:34.688176,121868476,4
0,2026-03-04 02:42:35.974213,121868476,3
OPEN,2026-03-04 02:42:55.974732,0,0
0,2026-03-04 02:45:04.202115,121868476,3
0,2026-03-04 02:45:05.210630,121868476,4
OPEN,2026-03-04 02:45:25.211416,0,0
0,2026-03-04 02:52:32.717344,121868476,4
0,2026-03-04 02:52:35.194356,121868476,3
OPEN,2026-03-04 02:52:55.195058,0,0
0,2026-03-04 02:59:12.033959,12186196220,4
0,2026-03-04 02:59:18.371955,12186196220,3
OPEN,2026-03-04 02:59:38.372879,0,0
0,2026-03-04 03:08:56.395925,12186196220,3
0,2026-03-04 03:09:01.285434,12186196220,4
OPEN,2026-03-04 03:09:21.286166,0,0
0,2026-03-04 03:16:47.626852,121868476,4
0,2026-03-04 03:16:48.888682,121868476,3
OPEN,2026-03-04 03:17:08.915502,0,0
0,2026-03-04 03:18:52.520502,121868476,3
0,2026-03-04 03:18:53.429214,121868476,4
OPEN,2026-03-04 03:19:13.430200,0,0
0,2026-03-04 03:22:52.907734,12186196220,4
0,2026-03-04 03:22:55.174031,12186196220,3
OPEN,2026-03-04 03:23:15.175029,0,0
0,2026-03-04 03:31:25.852387,12186196220,3
0,2026-03-04 03:31:30.314258,12186196220,4
OPEN,2026-03-04 03:31:50.314371,0,0
0,2026-03-04 03:44:06.476171,121868476,4
0,2026-03-04 03:44:07.688143,121868476,3
OPEN,2026-03-04 03:44:27.689096,0,0
