Mode,Start_Time,Animal,Unit
0,2026-03-07 01:38:10.701631,12184133159,3
0,2026-03-07 01:38:12.967354,12184133159,4
solo,2026-03-07 01:38:12.969046,0,0
OPEN,2026-03-07 01:38:32.969616,0,0
0,2026-03-07 01:40:32.626900,12184133159,4
0,2026-03-07 01:40:33.988784,12184133159,3
OPEN,2026-03-07 01:40:53.989303,0,0
0,2026-03-07 01:58:48.177425,12184133159,3
0,2026-03-07 01:58:49.790662,12184133159,4
solo,2026-03-07 01:58:49.792498,0,0
OPEN,2026-03-07 01:59:09.793537,0,0
0,2026-03-07 02:05:18.703817,12184133159,4
0,2026-03-07 02:05:19.736300,12184133159,3
OPEN,2026-03-07 02:05:39.737154,0,0
0,2026-03-07 02:07:37.923534,12184133159,3
0,2026-03-07 02:07:39.174502,12184133159,4
solo,2026-03-07 02:07:39.176353,0,0
OPEN,2026-03-07 02:07:59.177370,0,0
0,2026-03-07 02:08:10.966226,12184133159,4
0,2026-03-07 02:08:12.007111,12184133159,3
OPEN,2026-03-07 02:08:32.007685,0,0
0,2026-03-07 02:10:23.344133,12184133159,3
0,2026-03-07 02:10:24.436429,12184133159,4
OPEN,2026-03-07 02:10:44.437245,0,0
0,2026-03-07 02:13:21.950775,12184133159,4
0,2026-03-07 02:13:22.914667,12184133159,3
OPEN,2026-03-07 02:13:42.915718,0,0
0,2026-03-07 02:13:46.894591,121848676,3
OPEN,2026-03-07 02:14:06.895440,0,0
0,2026-03-07 03:38:49.487260,12185194217,3
OPEN,2026-03-07 03:39:09.487776,0,0
0,2026-03-07 04:38:02.187180,121848676,3
OPEN,2026-03-07 04:38:22.187777,0,0
0,2026-03-07 04:59:23.950750,12185194217,3
OPEN,2026-03-07 04:59:43.951294,0,0
0,2026-03-07 06:03:25.163762,12184133159,3
0,2026-03-07 06:03:28.267351,12184133159,4
solo,2026-03-07 06:03:28.269160,0,0
OPEN,2026-03-07 06:03:48.270282,0,0
0,2026-03-07 06:11:20.993948,12184133159,4
0,2026-03-07 06:11:22.367959,12184133159,3
OPEN,2026-03-07 06:11:42.368916,0,0
0,2026-03-07 08:03:17.738177,12185194217,3
1,2026-03-07 08:03:29.644401,12185194217,3
OPEN,2026-03-07 08:03:49.645007,0,0
0,2026-03-07 08:08:16.075224,12184133159,3
0,2026-03-07 08:08:18.304643,12184133159,4
OPEN,2026-03-07 08:08:38.305065,0,0
0,2026-03-07 08:09:17.963582,12184133159,4
0,2026-03-07 08:09:21.918711,12184133159,3
1,2026-03-07 08:09:31.640648,12184133159,3
1,2026-03-07 08:09:34.086391,12184133159,4
solo,2026-03-07 08:09:35.644025,0,0
OPEN,2026-03-07 08:09:55.645096,0,0
0,2026-03-07 08:13:50.218453,12184133159,4
