Mode,Start_Time,Animal,Weight,Unit,Pellets
1,2025-12-06 23:31:23.816154,121868072,17.79,1,0
1,2025-12-06 23:31:51.814340,121868072,16.85,2,0
1,2025-12-07 01:49:18.466946,12184220198,16.57,2,0
1,2025-12-07 01:49:21.341413,12184220198,17.25,2,0
1,2025-12-07 01:49:43.058165,12184220198,16.79,2,1
1,2025-12-07 01:49:49.035770,12184220198,16.82,2,0
1,2025-12-07 01:50:38.171331,12184220198,16.69,2,1
1,2025-12-07 01:50:42.744348,12184220198,16.84,2,0
1,2025-12-07 01:51:34.564317,12184220198,16.64,2,1
1,2025-12-07 01:51:41.456766,12184220198,16.65,2,0
1,2025-12-07 01:52:43.244618,1102000232,16.48,2,0
1,2025-12-07 01:52:43.450927,12184220198,16.69,2,1
1,2025-12-07 01:52:45.629805,12184220198,16.44,2,0
1,2025-12-07 01:53:26.793075,12184220198,16.73,2,1
1,2025-12-07 01:53:28.785491,12184220198,16.82,2,0
1,2025-12-07 01:54:16.080294,12184220198,16.96,2,1
1,2025-12-07 01:54:17.974999,12184220198,16.76,2,0
1,2025-12-07 01:54:33.034314,12184220198,17.07,2,0
1,2025-12-07 01:54:53.091070,12184220198,17.04,2,1
1,2025-12-07 01:54:55.932765,12184220198,16.74,2,0
1,2025-12-07 01:55:09.483368,12184220198,16.72,2,1
1,2025-12-07 01:55:14.808093,12184220198,17.1,2,0
1,2025-12-07 01:56:01.938057,12184220198,16.48,2,1
1,2025-12-07 01:56:04.551392,12184220198,16.64,2,0
1,2025-12-07 01:56:27.598368,12184220198,14.97,2,0
1,2025-12-07 01:58:00.605190,12184220198,17.0,2,0
1,2025-12-07 01:58:04.949784,12184220198,16.58,2,0
1,2025-12-07 02:02:00.550550,12184220198,16.93,2,1
1,2025-12-07 02:02:05.810839,12184220198,16.95,2,0
1,2025-12-07 02:03:12.535529,12184220198,17.07,2,1
1,2025-12-07 02:03:16.879699,12184220198,16.09,2,0
1,2025-12-07 02:07:01.206346,1102000232,10.53,2,0
1,2025-12-07 02:07:01.412549,12184220198,13.32,2,0
1,2025-12-07 02:07:09.488463,12185233242,19.33,2,1
1,2025-12-07 02:07:11.285019,12185233242,19.28,2,0
1,2025-12-07 02:07:23.950988,12184220198,16.81,2,1
1,2025-12-07 02:07:30.908863,12184220198,8.76,2,0
1,2025-12-07 02:08:40.673909,12185233242,19.41,2,1
1,2025-12-07 02:08:45.377896,12185233242,19.53,2,0
1,2025-12-07 02:09:20.075579,12185233242,19.36,2,1
1,2025-12-07 02:18:09.080154,12184220198,17.04,2,1
1,2025-12-07 01:29:27.708927,12184223197,15.28,1,0
1,2025-12-07 02:18:12.706007,12184220198,16.86,2,0
1,2025-12-07 02:43:44.986858,12185173182,17.23,2,1
1,2025-12-07 04:41:50.322963,12185233242,19.31,2,1
1,2025-12-07 04:41:53.328237,12185233242,19.23,2,0
1,2025-12-07 04:42:53.391616,12185233242,19.34,2,1
1,2025-12-07 04:42:55.808617,12185233242,19.41,2,0
1,2025-12-07 04:43:15.382079,12184220198,16.94,2,0
1,2025-12-07 04:43:33.118867,12184220198,16.81,2,1
1,2025-12-07 04:43:37.398297,12184220198,16.8,2,0
1,2025-12-07 04:44:28.894309,12185233242,19.27,2,1
1,2025-12-07 04:44:30.004474,12185233242,19.36,2,0
1,2025-12-07 04:44:52.019343,1102000232,16.63,2,0
1,2025-12-07 04:44:52.225922,12184220198,16.82,2,1
1,2025-12-07 04:44:55.743357,12184220198,16.6,2,0
1,2025-12-07 04:45:01.418080,12184220198,16.83,2,0
1,2025-12-07 04:46:40.035867,12184220198,16.6,2,0
1,2025-12-07 04:46:43.071308,12184220198,15.07,2,0
1,2025-12-07 04:47:05.730593,12185173182,17.42,2,0
1,2025-12-07 04:48:24.439190,12185173182,17.0,2,1
1,2025-12-07 04:49:39.945303,12185173182,18.68,2,1
1,2025-12-07 04:50:52.987089,12185173182,18.64,2,1
1,2025-12-07 04:58:22.032281,12184220198,16.69,2,1
1,2025-12-07 04:58:26.311443,12184220198,17.13,2,0
1,2025-12-07 04:59:07.922982,12184220198,16.78,2,1
1,2025-12-07 04:59:11.320151,12184220198,16.59,2,0
1,2025-12-07 05:00:32.658766,12184220198,16.8,2,0
1,2025-12-07 05:00:34.895140,12184220198,15.41,2,1
1,2025-12-07 05:02:55.955826,12184220198,16.66,2,0
1,2025-12-07 05:03:19.075862,12184220198,16.52,2,0
1,2025-12-07 05:03:21.297110,12184220198,15.06,2,0
1,2025-12-07 05:06:25.489214,12184220198,16.44,2,1
1,2025-12-07 05:06:29.017128,12184220198,16.66,2,0
1,2025-12-07 05:07:36.701976,1102000232,16.59,2,0
1,2025-12-07 05:07:36.907764,12184220198,16.63,2,1
1,2025-12-07 05:07:44.378245,12184220198,15.76,2,0
1,2025-12-07 05:09:34.553559,12184220198,16.54,2,0
1,2025-12-07 05:10:16.373453,12184220198,16.5,2,1
1,2025-12-07 05:10:20.358424,12184220198,16.57,2,0
1,2025-12-07 05:17:41.765112,12184220198,16.81,2,1
1,2025-12-07 05:17:45.978966,12184220198,16.72,2,0
1,2025-12-07 05:17:57.145314,12184220198,16.69,2,0
1,2025-12-07 05:18:40.269586,12184220198,17.11,2,1
