Mode,Start_Time,Animal,Unit
OPEN,2025-12-20 00:00:02.455797,0,0
0,2025-12-20 00:01:01.270156,12184220198,4
1,2025-12-20 00:01:02.081500,12185233242,4
followerB,2025-12-20 00:01:02.083110,0,0
0,2025-12-20 00:01:02.668077,12184220198,3
1,2025-12-20 00:01:06.681475,12185233242,3
followerA,2025-12-20 00:01:06.683095,0,0
OPEN,2025-12-20 00:01:26.683962,0,0
0,2025-12-20 00:01:27.730616,12185233242,3
OPEN,2025-12-20 00:01:47.853365,0,0
0,2025-12-20 00:02:36.599690,12185173182,4
0,2025-12-20 00:02:38.306083,12185173182,3
OPEN,2025-12-20 00:02:58.306713,0,0
0,2025-12-20 00:04:02.382172,12185173182,3
0,2025-12-20 00:04:06.574516,12185173182,4
OPEN,2025-12-20 00:04:26.574958,0,0
0,2025-12-20 00:04:27.801201,12184223197,3
1,2025-12-20 00:04:28.522904,12184220198,3
followerA,2025-12-20 00:04:28.524617,0,0
0,2025-12-20 00:04:31.856600,12184220198,4
OPEN,2025-12-20 00:04:51.857044,0,0
0,2025-12-20 00:06:01.446674,12185173182,4
1,2025-12-20 00:06:01.920768,12184220198,4
followerB,2025-12-20 00:06:01.922476,0,0
0,2025-12-20 00:06:02.791360,12185173182,3
1,2025-12-20 00:06:03.367597,12184220198,3
followerA,2025-12-20 00:06:03.369359,0,0
OPEN,2025-12-20 00:06:23.369820,0,0
0,2025-12-20 00:06:28.441933,12185173182,3
1,2025-12-20 00:06:29.088617,12184220198,3
followerA,2025-12-20 00:06:29.090295,0,0
0,2025-12-20 00:06:31.241400,12185173182,4
1,2025-12-20 00:06:32.445812,12184220198,4
2,2025-12-20 00:06:41.302235,121868072,4
3,2025-12-20 00:06:42.016532,12184220198,4
4,2025-12-20 00:06:42.852124,12185173182,4
2,2025-12-20 00:06:43.818252,121868072,3
followerA,2025-12-20 00:06:43.819928,0,0
3,2025-12-20 00:06:49.759024,12184220198,3
4,2025-12-20 00:06:52.656665,12185173182,3
OPEN,2025-12-20 00:07:12.657455,0,0
0,2025-12-20 00:07:12.762824,12185173182,3
1,2025-12-20 00:07:13.396018,12184220198,3
followerA,2025-12-20 00:07:13.397757,0,0
0,2025-12-20 00:07:13.811411,12185173182,4
1,2025-12-20 00:07:15.673063,12184220198,4
OPEN,2025-12-20 00:07:35.673514,0,0
0,2025-12-20 00:09:01.540042,121868072,3
0,2025-12-20 00:09:04.729560,121868072,4
OPEN,2025-12-20 00:09:24.729988,0,0
0,2025-12-20 00:10:51.838750,12185233242,4
1,2025-12-20 00:10:55.304633,121868072,4
followerB,2025-12-20 00:10:55.306447,0,0
0,2025-12-20 00:11:15.301769,121868072,3
1,2025-12-20 00:11:25.533108,121868072,3
2,2025-12-20 00:11:36.274080,121868072,3
OPEN,2025-12-20 00:11:56.472780,0,0
0,2025-12-20 00:11:57.370728,12185233242,3
OPEN,2025-12-20 00:12:17.371314,0,0
0,2025-12-20 00:12:36.284647,12185233242,4
0,2025-12-20 00:12:37.886385,12185233242,3
OPEN,2025-12-20 00:12:57.887018,0,0
0,2025-12-20 00:13:00.119251,12185233242,3
0,2025-12-20 00:13:01.535192,12185233242,4
OPEN,2025-12-20 00:13:21.535612,0,0
0,2025-12-20 00:14:02.863735,12184223197,3
OPEN,2025-12-20 00:14:22.864303,0,0
0,2025-12-20 00:14:45.489585,12185173182,4
0,2025-12-20 00:14:48.399060,12185173182,3
OPEN,2025-12-20 00:15:08.399919,0,0
0,2025-12-20 00:15:11.876199,12185173182,3
0,2025-12-20 00:15:13.919073,12185173182,4
OPEN,2025-12-20 00:15:33.919787,0,0
0,2025-12-20 00:15:36.356811,12185173182,3
OPEN,2025-12-20 00:15:56.357628,0,0
0,2025-12-20 00:16:10.136780,12184220198,4
0,2025-12-20 00:16:15.815263,12184220198,3
OPEN,2025-12-20 00:16:35.816072,0,0
0,2025-12-20 00:16:43.187312,12184220198,3
0,2025-12-20 00:16:48.206486,12184220198,4
OPEN,2025-12-20 00:17:08.207053,0,0
0,2025-12-20 00:17:22.618965,12185173182,3
0,2025-12-20 00:17:25.338223,12185173182,4
1,2025-12-20 00:17:31.021216,12184223197,4
2,2025-12-20 00:17:32.098106,12184220198,4
1,2025-12-20 00:17:34.588857,12184223197,3
followerA,2025-12-20 00:17:34.590536,0,0
2,2025-12-20 00:17:36.499869,12184220198,3
followerA,2025-12-20 00:17:36.501583,0,0
3,2025-12-20 00:17:45.672382,121868072,4
4,2025-12-20 00:17:46.534523,12185173182,4
3,2025-12-20 00:17:48.170121,121868072,3
followerA,2025-12-20 00:17:48.171812,0,0
4,2025-12-20 00:17:57.287714,12185173182,3
OPEN,2025-12-20 00:18:20.496103,0,0
0,2025-12-20 00:18:26.910645,12184220198,3
0,2025-12-20 00:18:29.062867,12184220198,4
OPEN,2025-12-20 00:18:49.063471,0,0
0,2025-12-20 00:18:50.650255,12185173182,3
0,2025-12-20 00:18:54.042603,12185173182,4
OPEN,2025-12-20 00:19:14.043049,0,0
0,2025-12-20 00:19:46.835050,12184223197,3
OPEN,2025-12-20 00:20:06.835780,0,0
0,2025-12-20 00:20:29.386473,12184223197,3
0,2025-12-20 00:20:33.693371,12184223197,4
OPEN,2025-12-20 00:20:53.693870,0,0
0,2025-12-20 00:20:56.140487,12184223197,3
OPEN,2025-12-20 00:21:16.141060,0,0
0,2025-12-20 00:22:29.098499,12185173182,4
0,2025-12-20 00:22:31.299795,12185173182,3
OPEN,2025-12-20 00:22:51.300459,0,0
0,2025-12-20 00:22:55.670886,12185173182,3
1,2025-12-20 00:22:56.740823,12184223197,3
followerA,2025-12-20 00:22:56.742430,0,0
0,2025-12-20 00:22:57.095082,12185173182,4
1,2025-12-20 00:23:05.679176,12184223197,4
2,2025-12-20 00:23:15.614625,12184220198,4
2,2025-12-20 00:23:19.933983,12184220198,3
followerA,2025-12-20 00:23:19.935557,0,0
OPEN,2025-12-20 00:23:39.936212,0,0
0,2025-12-20 00:23:48.738544,121868072,3
0,2025-12-20 00:23:51.577836,121868072,4
OPEN,2025-12-20 00:24:11.578212,0,0
0,2025-12-20 00:26:04.813654,12185233242,3
OPEN,2025-12-20 00:26:24.814229,0,0
0,2025-12-20 00:28:55.777831,12184220198,3
0,2025-12-20 00:28:59.072504,12184220198,4
OPEN,2025-12-20 00:29:19.072939,0,0
0,2025-12-20 00:30:40.481100,12185173182,4
0,2025-12-20 00:30:42.308615,12185173182,3
OPEN,2025-12-20 00:31:02.400299,0,0
0,2025-12-20 00:31:46.372517,12185173182,3
0,2025-12-20 00:31:48.272848,12185173182,4
1,2025-12-20 00:31:55.977782,12184220198,4
1,2025-12-20 00:31:58.847700,12184220198,3
followerA,2025-12-20 00:31:58.849383,0,0
OPEN,2025-12-20 00:32:18.849829,0,0
0,2025-12-20 00:35:49.971676,12184220198,3
0,2025-12-20 00:35:56.079139,12184220198,4
OPEN,2025-12-20 00:36:16.079579,0,0
0,2025-12-20 00:37:44.089957,12185173182,4
0,2025-12-20 00:37:46.087835,12185173182,3
OPEN,2025-12-20 00:38:06.088716,0,0
0,2025-12-20 00:38:06.522154,121868072,4
0,2025-12-20 00:38:09.627478,121868072,3
OPEN,2025-12-20 00:38:29.628019,0,0
0,2025-12-20 00:38:41.170695,12185173182,3
0,2025-12-20 00:38:44.066931,12185173182,4
OPEN,2025-12-20 00:39:04.067531,0,0
0,2025-12-20 00:40:57.815621,12185173182,4
0,2025-12-20 00:40:59.876312,12185173182,3
OPEN,2025-12-20 00:41:19.876990,0,0
0,2025-12-20 00:43:54.848684,12185173182,3
0,2025-12-20 00:43:58.006997,12185173182,4
OPEN,2025-12-20 00:44:18.007826,0,0
0,2025-12-20 00:44:24.617921,12185173182,4
0,2025-12-20 00:44:26.209247,12185173182,3
OPEN,2025-12-20 00:44:46.209838,0,0
0,2025-12-20 00:45:49.581237,12184220198,4
0,2025-12-20 00:46:00.558792,12184220198,3
OPEN,2025-12-20 00:46:20.559406,0,0
0,2025-12-20 00:46:23.331537,12184220198,3
0,2025-12-20 00:46:34.532335,12184220198,4
OPEN,2025-12-20 00:46:54.532954,0,0
0,2025-12-20 00:47:16.063360,12184223197,4
0,2025-12-20 00:47:21.084641,12184223197,3
1,2025-12-20 00:47:27.465593,12185173182,3
followerA,2025-12-20 00:47:27.467314,0,0
1,2025-12-20 00:47:35.229305,12185173182,4
OPEN,2025-12-20 00:47:55.229815,0,0
0,2025-12-20 00:47:55.536141,12184220198,4
0,2025-12-20 00:47:56.191826,12185173182,3
1,2025-12-20 00:47:57.106074,12185233242,3
followerA,2025-12-20 00:47:57.107774,0,0
2,2025-12-20 00:47:57.826378,12184220198,3
followerA,2025-12-20 00:47:57.828163,0,0
OPEN,2025-12-20 00:48:17.828679,0,0
0,2025-12-20 00:48:31.601145,12185173182,3
0,2025-12-20 00:48:41.102652,12185173182,4
OPEN,2025-12-20 00:49:01.102987,0,0
0,2025-12-20 00:49:05.422232,12185173182,4
0,2025-12-20 00:49:15.958929,12185173182,3
OPEN,2025-12-20 00:49:35.959491,0,0
0,2025-12-20 00:49:37.078651,12184220198,3
1,2025-12-20 00:49:37.705351,12185173182,3
followerA,2025-12-20 00:49:37.706956,0,0
0,2025-12-20 00:49:38.383299,12184220198,4
1,2025-12-20 00:49:39.531932,12185173182,4
OPEN,2025-12-20 00:49:59.532341,0,0
0,2025-12-20 00:53:24.706203,12185233242,3
0,2025-12-20 00:53:26.412253,12185233242,4
OPEN,2025-12-20 00:53:46.412695,0,0
0,2025-12-20 00:55:42.008554,12185233242,4
0,2025-12-20 00:55:44.924240,12185233242,3
OPEN,2025-12-20 00:56:04.924978,0,0
0,2025-12-20 00:57:53.946741,12185233242,3
0,2025-12-20 00:57:54.842488,12185233242,4
OPEN,2025-12-20 00:58:14.843123,0,0
0,2025-12-20 00:59:00.642262,12185173182,4
0,2025-12-20 00:59:04.565033,12185173182,3
OPEN,2025-12-20 00:59:24.565615,0,0
0,2025-12-20 00:59:30.916652,12185173182,3
0,2025-12-20 00:59:33.238569,12185173182,4
OPEN,2025-12-20 00:59:53.238983,0,0
0,2025-12-20 01:00:01.551877,12185173182,3
0,2025-12-20 01:00:10.078699,12185173182,4
OPEN,2025-12-20 01:00:32.538480,0,0
0,2025-12-20 01:00:33.610016,12185173182,4
0,2025-12-20 01:00:40.247823,12185173182,3
OPEN,2025-12-20 01:01:00.248424,0,0
0,2025-12-20 01:01:41.534279,12185173182,3
0,2025-12-20 01:01:43.234924,12185173182,4
OPEN,2025-12-20 01:02:03.235444,0,0
0,2025-12-20 01:02:25.083685,12184220198,4
0,2025-12-20 01:02:30.606077,12184220198,3
OPEN,2025-12-20 01:02:50.606573,0,0
0,2025-12-20 01:02:52.943765,12184223197,3
1,2025-12-20 01:03:02.770451,12184220198,3
followerA,2025-12-20 01:03:02.772021,0,0
0,2025-12-20 01:03:05.785313,12184220198,4
OPEN,2025-12-20 01:03:25.785753,0,0
0,2025-12-20 01:04:36.879493,12184220198,4
0,2025-12-20 01:04:42.377200,12184220198,3
