Mode,Start_Time,Animal,Weight,Unit,Pellets
6,2025-12-14 23:49:48.446647,12184220198,19.41,2,1
6,2025-12-15 00:01:56.015684,12184223197,21.36,2,0
6,2025-12-15 00:01:59.771919,12184223197,21.68,2,0
6,2025-12-15 00:02:01.374773,12184223197,20.83,2,1
6,2025-12-15 00:02:08.591507,12184223197,20.76,2,0
6,2025-12-15 00:02:36.185321,12184220198,19.68,2,1
6,2025-12-15 00:02:37.459243,12184220198,20.08,2,0
6,2025-12-15 00:02:51.346853,12184220198,19.54,2,1
6,2025-12-15 00:02:55.556889,12184220198,19.4,2,0
6,2025-12-15 00:03:02.522316,12184220198,19.6,2,0
6,2025-12-15 00:03:03.671075,12184220198,19.28,2,3
6,2025-12-15 00:07:32.631303,12184223197,21.22,2,0
6,2025-12-15 00:07:54.654024,12184223197,21.37,2,0
6,2025-12-15 00:08:00.566372,12184223197,21.5,2,0
6,2025-12-15 00:08:12.212557,12184220198,19.12,2,1
6,2025-12-15 00:08:13.584389,12184220198,19.84,2,0
6,2025-12-15 00:09:29.768202,12184220198,19.15,2,1
6,2025-12-15 00:09:34.439292,12184220198,19.39,2,1
6,2025-12-15 00:18:52.678320,12184223197,21.25,2,0
6,2025-12-15 00:19:08.457110,1102000232,21.38,2,0
6,2025-12-15 00:19:08.662793,12184223197,20.99,2,1
6,2025-12-15 00:19:23.971804,12184223197,21.2,2,1
6,2025-12-15 00:19:37.593403,12184223197,21.01,2,0
6,2025-12-15 00:31:05.086887,12184223197,20.69,2,1
6,2025-12-15 00:31:22.205397,12184223197,21.59,2,1
6,2025-12-15 00:31:40.169866,12184223197,21.49,2,1
6,2025-12-15 00:31:53.961352,12184223197,21.54,2,1
6,2025-12-15 00:32:28.619445,12184223197,21.89,2,1
6,2025-12-15 00:33:17.811832,12184223197,21.57,2,0
6,2025-12-14 22:51:26.185361,12184223197,21.34,1,0
6,2025-12-15 00:33:24.855722,12184223197,21.51,2,0
6,2025-12-15 00:40:02.214404,121868072,19.04,2,1
6,2025-12-15 00:40:04.370309,121868072,19.07,2,0
6,2025-12-15 00:40:07.849003,121868072,19.03,2,0
6,2025-12-15 00:40:12.594180,121868072,19.1,2,0
6,2025-12-15 00:40:14.348758,121868072,19.06,2,0
6,2025-12-15 00:40:16.180508,121868072,19.01,2,0
6,2025-12-15 00:40:26.228554,121868072,19.02,2,0
6,2025-12-15 00:40:30.050491,121868072,18.85,2,1
6,2025-12-15 00:40:32.271985,121868072,19.16,2,0
6,2025-12-15 00:40:44.194800,121868072,19.02,2,1
6,2025-12-15 00:40:48.833227,1102000232,19.02,2,0
6,2025-12-15 00:40:49.039384,121868072,19.05,2,1
6,2025-12-15 00:41:01.116441,121868072,19.1,2,1
6,2025-12-15 00:41:16.012053,121868072,18.83,2,1
6,2025-12-15 00:41:35.055041,121868072,19.16,2,1
6,2025-12-15 00:41:52.955810,121868072,23.47,2,0
6,2025-12-15 00:43:21.470739,12184220198,18.77,2,1
6,2025-12-15 00:43:22.777350,12184220198,19.78,2,1
6,2025-12-15 00:43:39.436734,12184220198,19.59,2,1
6,2025-12-15 00:43:53.842494,12184220198,19.7,2,1
6,2025-12-15 00:44:11.057061,12184220198,19.87,2,1
6,2025-12-15 00:44:27.054351,12184220198,20.04,2,1
6,2025-12-15 00:44:46.098422,12184220198,19.74,2,2
6,2025-12-15 00:48:18.352087,12184223197,21.48,2,1
6,2025-12-15 00:48:24.036320,12184223197,21.37,2,0
6,2025-12-15 00:48:35.074816,12184220198,19.5,2,1
6,2025-12-15 00:48:37.786116,12184220198,18.9,2,0
6,2025-12-15 00:50:02.050999,121868072,18.98,2,0
6,2025-12-15 00:50:03.716707,121868072,19.19,2,0
6,2025-12-15 00:50:09.499473,121868072,19.24,2,1
6,2025-12-15 00:51:13.763247,12184223197,21.62,2,0
6,2025-12-15 00:51:37.198203,1102000232,21.49,2,0
6,2025-12-15 00:51:37.403709,12184223197,21.35,2,0
6,2025-12-15 01:12:39.896687,12184223197,20.14,2,1
6,2025-12-15 01:12:56.646778,12184223197,21.72,2,1
6,2025-12-15 01:13:12.765112,12184223197,21.64,2,1
6,2025-12-15 01:13:14.594606,12184223197,21.48,2,0
6,2025-12-15 01:14:50.117357,121868072,18.92,2,1
6,2025-12-15 01:14:51.490570,121868072,19.23,2,0
6,2025-12-15 01:15:09.084591,121868072,19.04,2,1
6,2025-12-15 01:15:10.913768,121868072,19.26,2,0
6,2025-12-15 01:15:25.539419,121868072,19.23,2,0
6,2025-12-15 01:15:32.589024,121868072,19.21,2,0
6,2025-12-15 01:15:33.765139,121868072,19.12,2,0
6,2025-12-15 01:15:34.908303,121868072,19.13,2,0
6,2025-12-15 01:15:36.868728,121868072,18.86,2,1
6,2025-12-15 01:15:43.336084,121868072,19.14,2,0
6,2025-12-15 01:15:59.701949,121868072,18.95,2,1
6,2025-12-15 01:16:50.280263,12184223197,21.47,2,0
6,2025-12-15 01:18:58.419079,12185173182,-1.46,2,0
6,2025-12-15 01:19:01.210364,12185173182,21.42,2,0
6,2025-12-15 01:19:02.213965,12185173182,21.48,2,0
6,2025-12-15 01:19:12.099965,1102000232,21.5,2,0
6,2025-12-15 01:19:12.305710,12185173182,21.37,2,1
6,2025-12-15 01:19:13.415204,12185173182,21.54,2,0
6,2025-12-15 01:19:26.412427,12185173182,21.8,2,0
6,2025-12-15 01:19:36.808373,12184220198,19.07,2,1
6,2025-12-15 01:19:38.147726,12184220198,19.54,2,0
6,2025-12-15 01:19:52.855095,12184220198,19.66,2,1
6,2025-12-15 01:19:54.656058,12184220198,19.68,2,1
6,2025-12-15 01:20:08.996294,12184220198,19.74,2,0
6,2025-12-15 01:47:51.192345,121868072,19.08,2,1
6,2025-12-15 01:47:52.760407,121868072,19.1,2,0
6,2025-12-15 01:48:03.431313,121868072,19.12,2,1
6,2025-12-15 01:48:06.015853,121868072,19.3,2,1
6,2025-12-15 01:48:19.100419,121868072,19.21,2,1
6,2025-12-15 01:48:34.355390,121868072,19.06,2,1
6,2025-12-15 01:48:50.459630,121868072,19.13,2,1
6,2025-12-15 01:49:06.923084,121868072,19.33,2,0
6,2025-12-15 01:51:53.784117,12185233242,20.84,2,1
6,2025-12-15 01:52:09.108033,12185233242,21.1,2,0
6,2025-12-15 02:10:45.476575,12185233242,20.87,2,1
6,2025-12-15 02:10:47.175263,12185233242,20.85,2,0
6,2025-12-15 02:10:56.976055,1102000232,21.05,2,0
6,2025-12-15 02:10:57.182329,12185233242,20.99,2,2
6,2025-12-15 02:10:59.817933,12185233242,20.87,2,0
6,2025-12-15 02:11:10.140288,12185233242,20.87,2,0
6,2025-12-15 02:11:17.816719,12185233242,21.02,2,0
6,2025-12-15 00:36:13.216572,12184223197,18.44,1,0
6,2025-12-15 02:22:43.524544,12184223197,21.13,1,0
6,2025-12-15 02:11:19.058179,12185233242,21.21,2,2
6,2025-12-15 02:26:02.595538,12184223197,21.08,2,0
6,2025-12-15 02:26:09.155252,12184223197,21.31,2,1
6,2025-12-15 02:26:46.787616,12185233242,21.3,2,0
6,2025-12-15 02:26:52.994134,12185233242,21.19,2,0
6,2025-12-15 02:26:56.718131,12185233242,21.24,2,0
6,2025-12-15 02:27:00.439030,12185233242,21.04,2,1
6,2025-12-15 02:27:01.484081,12185233242,21.12,2,0
6,2025-12-15 02:27:04.587797,12185233242,21.17,2,0
6,2025-12-15 02:27:07.037340,12185233242,21.13,2,0
6,2025-12-15 02:27:09.487323,12185233242,21.18,2,0
6,2025-12-15 02:27:11.839389,12185233242,21.05,2,1
6,2025-12-15 02:27:13.570719,12185233242,20.94,2,0
6,2025-12-15 02:27:17.000217,12185233242,21.21,2,0
6,2025-12-15 02:27:18.176395,12185233242,21.21,2,0
6,2025-12-15 02:27:24.480907,12185233242,21.55,2,1
6,2025-12-15 02:27:26.408229,1102000232,21.05,2,0
6,2025-12-15 02:27:26.613869,12185233242,21.27,2,0
6,2025-12-15 02:22:57.837529,12184223197,20.88,1,0
6,2025-12-15 02:27:34.280694,12185233242,21.21,2,1
6,2025-12-15 02:31:02.925145,12184223197,21.3,2,4
6,2025-12-15 02:31:19.127672,12184223197,21.19,2,0
6,2025-12-15 02:31:28.012524,12184223197,21.02,2,0
6,2025-12-15 02:48:35.842050,12185173182,20.99,2,1
6,2025-12-15 02:48:49.540006,12185173182,21.04,2,0
6,2025-12-15 02:48:53.590736,12185173182,21.23,2,0
6,2025-12-15 03:06:45.331545,12185173182,21.23,2,1
6,2025-12-15 03:06:46.539874,12185173182,21.33,2,0
6,2025-12-15 03:06:57.427923,12185173182,21.23,2,1
6,2025-12-15 03:06:58.963324,12185173182,21.43,2,0
6,2025-12-15 03:07:08.616268,12185173182,21.14,2,1
6,2025-12-15 03:07:21.767299,12185173182,21.41,2,1
6,2025-12-15 03:07:23.491539,12185173182,21.48,2,0
6,2025-12-15 03:07:38.202160,12185173182,21.38,2,1
6,2025-12-15 03:08:03.830086,12184223197,21.42,2,1
6,2025-12-15 03:08:28.938784,12184223197,21.03,2,0
6,2025-12-15 03:08:52.446133,12184223197,21.06,2,1
6,2025-12-15 03:08:53.752416,12184223197,21.2,2,0
6,2025-12-15 03:43:12.206160,1102000232,20.89,2,0
6,2025-12-15 03:43:12.411632,12184223197,21.11,2,0
6,2025-12-15 03:43:13.316577,12184223197,21.15,2,1
6,2025-12-15 03:49:36.276539,12184223197,-51.72,2,1
6,2025-12-15 03:50:12.977347,12184223197,21.17,2,0
6,2025-12-15 02:29:06.779367,12184223197,19.93,1,0
6,2025-12-15 03:50:57.386961,12184223197,19.61,1,0
6,2025-12-15 03:50:19.151201,12184223197,21.2,2,2
6,2025-12-15 03:55:18.132892,12184223197,-51.72,2,0
