Mode,Start_Time,Animal,Unit
0,2025-10-11 00:01:59.282147,12184102124,3
0,2025-10-11 00:02:02.848738,12184102124,4
solo,2025-10-11 00:02:02.850398,0,0
0,2025-10-11 00:03:39.936370,12185199220,3
0,2025-10-11 00:03:43.125852,12185199220,4
solo,2025-10-11 00:03:43.127439,0,0
0,2025-10-11 00:05:51.527499,121835736,4
1,2025-10-11 00:05:52.573260,12184102124,4
0,2025-10-11 00:05:53.612703,121835736,3
start Lindzey,2025-10-11 00:05:53.614262,0,0
1,2025-10-11 00:05:54.268155,12184102124,3
End Lindzey,2025-10-11 00:06:53.614645,0,0
0,2025-10-11 00:06:59.599571,121835736,3
0,2025-10-11 00:07:00.973994,121835736,4
solo,2025-10-11 00:07:00.975689,0,0
0,2025-10-11 00:08:16.403282,12184189167,4
0,2025-10-11 00:08:19.847600,12184189167,3
solo,2025-10-11 00:08:19.849326,0,0
0,2025-10-11 00:08:45.043648,12185199220,4
1,2025-10-11 00:08:46.284213,12185199220,4
0,2025-10-11 00:08:49.334265,12185199220,3
solo,2025-10-11 00:08:49.335958,0,0
0,2025-10-11 00:09:09.128504,12184102124,3
0,2025-10-11 00:09:12.797495,12184102124,4
solo,2025-10-11 00:09:12.799266,0,0
0,2025-10-11 00:10:35.670290,12184102124,4
1,2025-10-11 00:10:37.008847,12184102124,4
0,2025-10-11 00:10:42.502849,12184102124,3
solo,2025-10-11 00:10:42.504399,0,0
0,2025-10-11 00:15:55.226820,12184102124,3
0,2025-10-11 00:15:58.712852,12184102124,4
solo,2025-10-11 00:15:58.714507,0,0
0,2025-10-11 00:19:23.498318,12184102124,4
1,2025-10-11 00:19:24.608341,12184102124,4
0,2025-10-11 00:19:28.372519,12184102124,3
solo,2025-10-11 00:19:28.374123,0,0
0,2025-10-11 00:20:53.570945,12184189167,3
1,2025-10-11 00:20:54.166663,12184102124,3
0,2025-10-11 00:20:54.801370,12184189167,4
start Lindzey,2025-10-11 00:20:54.802899,0,0
1,2025-10-11 00:20:55.974849,12184102124,4
2,2025-10-11 00:21:10.355390,12185199220,3
2,2025-10-11 00:21:17.316412,12185199220,4
End Lindzey,2025-10-11 00:21:54.803282,0,0
0,2025-10-11 00:24:10.467351,12185199220,4
0,2025-10-11 00:24:13.388411,12185199220,3
solo,2025-10-11 00:24:13.390002,0,0
0,2025-10-11 00:24:14.097440,12184102124,3
0,2025-10-11 00:25:26.170869,121833859,4
1,2025-10-11 00:25:27.346087,121833859,4
