Mode,Start_Time,Animal,Weight,Unit
2,2026-06-28 00:00:02.415101,12186133157,0,1
3,2026-06-28 00:00:27.926948,12186133157,0,1
4,2026-06-28 00:00:34.354832,12186133157,0,1
5,2026-06-28 00:00:53.230065,12186133157,0,1
OPEN,2026-06-28 00:01:33.232560,0,0
1,2026-06-28 00:01:52.932274,121839170,0,1
sequence,2026-06-28 00:01:54.753643,0,0
1,2026-06-28 00:01:52.932274,121839170,22.69,1
2,2026-06-28 00:02:17.340204,121839170,0,1
OPEN,2026-06-28 00:02:57.343229,0,0
1,2026-06-28 00:06:45.584417,121839170,0,1
sequence,2026-06-28 00:06:45.788176,0,0
1,2026-06-28 00:06:45.584417,121839170,22.64,1
2,2026-06-28 00:07:16.805657,121839170,0,1
OPEN,2026-06-28 00:07:56.808739,0,0
1,2026-06-28 00:09:04.732773,12186133157,0,1
sequence,2026-06-28 00:09:05.341207,0,0
1,2026-06-28 00:09:04.732773,12186133157,22.555,1
2,2026-06-28 00:09:30.562738,12186133157,0,1
OPEN,2026-06-28 00:10:10.565667,0,0
1,2026-06-28 00:12:06.014187,121859271,0,1
sequence,2026-06-28 00:12:07.027557,0,0
1,2026-06-28 00:12:06.014187,121859271,22.11,1
2,2026-06-28 00:12:34.393466,121859271,0,1
3,2026-06-28 00:12:35.828916,121859271,0,1
OPEN,2026-06-28 00:13:15.831415,0,0
1,2026-06-28 00:14:05.326161,121836132,0,2
2,2026-06-28 00:14:08.766766,121836132,0,2
2,2026-06-28 00:14:08.766766,121836132,47.730000000000004,2
OPEN,2026-06-28 00:14:45.326902,0,0
1,2026-06-28 00:14:58.445949,121836132,0,2
1,2026-06-28 00:14:58.445949,121836132,29.795,2
OPEN,2026-06-28 00:15:38.446570,0,0
1,2026-06-28 00:17:50.384419,121836132,0,2
1,2026-06-28 00:17:50.384419,121836132,33.665,2
OPEN,2026-06-28 00:18:30.385018,0,0
999,2026-06-28 00:19:31.754932,1102000232,999,2
1,2026-06-28 00:19:31.759805,121836132,0,2
1,2026-06-28 00:19:31.759805,121836132,26.7,2
OPEN,2026-06-28 00:20:11.760592,0,0
999,2026-06-28 00:20:33.582412,1102000232,999,1
1,2026-06-28 00:20:33.587925,121839170,0,1
sequence,2026-06-28 00:20:33.794214,0,0
1,2026-06-28 00:20:33.587925,121839170,21.16,1
2,2026-06-28 00:21:56.492378,121839170,0,1
OPEN,2026-06-28 00:22:36.495454,0,0
1,2026-06-28 00:22:47.769247,121836132,0,2
1,2026-06-28 00:22:47.769247,121836132,29.490000000000002,2
OPEN,2026-06-28 00:23:27.769963,0,0
1,2026-06-28 00:23:41.750733,12186133157,0,1
sequence,2026-06-28 00:23:42.560681,0,0
1,2026-06-28 00:23:41.750733,12186133157,20.1,1
2,2026-06-28 00:24:16.270191,12186133157,0,1
OPEN,2026-06-28 00:24:56.273033,0,0
1,2026-06-28 00:26:24.658348,121836132,0,2
1,2026-06-28 00:26:24.658348,121836132,31.91,2
1,2026-06-28 00:26:38.538431,121859271,0,1
start Lindzey,2026-06-28 00:26:38.945281,0,0
1,2026-06-28 00:26:38.538431,121859271,22.01,1
2,2026-06-28 00:26:44.619281,121836132,0,2
3,2026-06-28 00:26:49.911343,121836132,0,2
4,2026-06-28 00:27:15.948640,121836132,0,2
2,2026-06-28 00:27:41.072984,121859271,0,1
End Lindzey,2026-06-28 00:28:11.075289,0,0
OPEN,2026-06-28 00:28:21.075640,0,0
1,2026-06-28 00:30:18.849274,121859271,0,1
sequence,2026-06-28 00:30:20.872350,0,0
1,2026-06-28 00:30:18.849274,121859271,22.415,1
2,2026-06-28 00:31:15.528464,121859271,0,1
OPEN,2026-06-28 00:31:55.531306,0,0
1,2026-06-28 01:04:16.943167,121859271,0,1
sequence,2026-06-28 01:04:17.752471,0,0
1,2026-06-28 01:04:16.943167,121859271,14.89,1
2,2026-06-28 01:04:54.265077,121859271,0,1
3,2026-06-28 01:05:46.787422,121859271,0,1
OPEN,2026-06-28 01:06:26.790330,0,0
1,2026-06-28 01:08:48.698861,121836132,0,2
1,2026-06-28 01:08:48.698861,121836132,27.67,2
OPEN,2026-06-28 01:09:28.699468,0,0
1,2026-06-28 01:13:10.869607,121836132,0,2
1,2026-06-28 01:13:10.869607,121836132,18.52,2
OPEN,2026-06-28 01:13:50.870356,0,0
1,2026-06-28 01:16:26.430036,121859271,0,1
sequence,2026-06-28 01:16:27.845006,0,0
1,2026-06-28 01:16:26.430036,121859271,22.18,1
1,2026-06-28 01:16:57.953312,121836132,0,2
1,2026-06-28 01:16:57.953312,121836132,31.165,2
2,2026-06-28 01:17:03.215416,121836132,0,2
2,2026-06-28 01:17:33.991102,121859271,0,1
OPEN,2026-06-28 01:18:13.993483,0,0
1,2026-06-28 01:30:10.684780,121859271,0,1
sequence,2026-06-28 01:30:11.495375,0,0
1,2026-06-28 01:30:10.684780,121859271,22.22,1
2,2026-06-28 01:30:37.732452,121859271,0,1
OPEN,2026-06-28 01:31:17.734759,0,0
1,2026-06-28 01:42:20.365040,121859271,0,1
sequence,2026-06-28 01:42:21.983758,0,0
1,2026-06-28 01:42:20.365040,121859271,22.15,1
2,2026-06-28 01:42:47.119819,121859271,0,1
OPEN,2026-06-28 01:43:27.122748,0,0
1,2026-06-28 02:06:33.967016,121859271,0,1
sequence,2026-06-28 02:06:34.372468,0,0
1,2026-06-28 02:06:33.967016,121859271,21.99,1
2,2026-06-28 02:07:06.721584,121859271,0,1
3,2026-06-28 02:07:09.365401,121859271,0,1
999,2026-06-28 02:07:11.158543,1102000232,999,1
4,2026-06-28 02:07:11.163914,121859271,0,1
OPEN,2026-06-28 02:07:51.166578,0,0
1,2026-06-28 02:15:35.614243,121859271,0,1
sequence,2026-06-28 02:15:36.628874,0,0
1,2026-06-28 02:15:35.614243,121859271,21.88,1
2,2026-06-28 02:16:17.434614,121859271,0,1
OPEN,2026-06-28 02:16:57.437585,0,0
1,2026-06-28 02:25:29.340116,121859271,0,1
sequence,2026-06-28 02:25:30.350798,0,0
1,2026-06-28 02:25:29.340116,121859271,22.15,1
2,2026-06-28 02:26:24.267503,121859271,0,1
OPEN,2026-06-28 02:27:04.270181,0,0
1,2026-06-28 02:44:24.181519,12186133157,0,1
