Mode,Start_Time,Animal,Weight,Unit
1,2026-06-12 00:36:59.613284,121836132,0,2
1,2026-06-12 00:36:59.613284,121836132,14.989999999999998,2
OPEN,2026-06-12 00:37:39.614007,0,0
1,2026-06-12 01:19:57.911671,12186133157,0,2
1,2026-06-12 01:19:57.911671,12186133157,13.87,2
OPEN,2026-06-12 01:20:37.912363,0,0
1,2026-06-12 02:29:16.150448,12186133157,0,2
1,2026-06-12 02:29:16.150448,12186133157,18.17,2
OPEN,2026-06-12 02:29:56.151039,0,0
1,2026-06-12 02:42:41.963200,1218496122,0,2
1,2026-06-12 02:42:41.963200,1218496122,13.024999999999999,2
OPEN,2026-06-12 02:43:21.963734,0,0
1,2026-06-12 02:45:35.854366,121836132,0,2
1,2026-06-12 02:45:35.854366,121836132,13.47,2
OPEN,2026-06-12 02:46:15.854985,0,0
1,2026-06-12 02:46:28.245687,12186133157,0,2
1,2026-06-12 02:46:28.245687,12186133157,14.25,2
OPEN,2026-06-12 02:47:08.246341,0,0
1,2026-06-12 02:48:14.108588,12186133157,0,2
1,2026-06-12 02:48:14.108588,12186133157,14.934999999999999,2
OPEN,2026-06-12 02:48:54.109314,0,0
1,2026-06-12 02:49:06.647674,1218496122,0,2
1,2026-06-12 02:49:06.647674,1218496122,12.07,2
OPEN,2026-06-12 02:49:46.648308,0,0
1,2026-06-12 04:19:39.543281,12186133157,0,2
1,2026-06-12 04:19:39.543281,12186133157,19.95,2
OPEN,2026-06-12 04:20:19.544031,0,0
1,2026-06-12 04:33:18.717134,1218496122,0,2
1,2026-06-12 04:33:18.717134,1218496122,10.31,2
OPEN,2026-06-12 04:33:58.717816,0,0
1,2026-06-12 06:04:40.429963,121836132,0,2
1,2026-06-12 06:04:40.429963,121836132,10.83,2
OPEN,2026-06-12 06:05:20.430562,0,0
1,2026-06-12 09:53:44.590112,121836132,0,2
1,2026-06-12 09:53:44.590112,121836132,13.395,2
OPEN,2026-06-12 09:54:24.590774,0,0
999,2026-06-12 09:58:11.450234,1102000232,999,2
1,2026-06-12 09:58:11.456310,121836132,0,2
1,2026-06-12 09:58:11.456310,121836132,0,2
OPEN,2026-06-12 09:58:51.456883,0,0
1,2026-06-12 10:00:27.642152,121836132,0,2
1,2026-06-12 10:00:27.642152,121836132,12.870000000000001,2
OPEN,2026-06-12 10:01:07.642710,0,0
1,2026-06-12 10:02:20.782153,121836132,0,2
1,2026-06-12 10:02:20.782153,121836132,11.915,2
OPEN,2026-06-12 10:03:00.782877,0,0
1,2026-06-12 10:05:38.112932,1218496122,0,2
1,2026-06-12 10:05:38.112932,1218496122,10.76,2
OPEN,2026-06-12 10:06:18.113486,0,0
initialize,2026-06-12 10:48:55.054141,0,-0.01,5
initialize,2026-06-12 10:48:55.259015,0,0.07,5
0,2026-06-12 10:51:25.276739,121836132,19.2,5
0,2026-06-12 10:51:56.722587,121859271,20.8,5
0,2026-06-12 10:52:21.114085,121839170,21.4,5
0,2026-06-12 10:52:54.907930,1218496122,20.7,5
0,2026-06-12 10:53:23.218066,12186133157,19.6,5
initialize,2026-06-12 10:54:44.402750,0,0.01,1
initialize,2026-06-12 10:54:44.604470,0,0.04,2
OPEN,2026-06-12 10:54:51.835018,0,0
1,2026-06-12 11:11:00.465815,121839170,0,1
1,2026-06-12 11:11:00.465815,121839170,22.58,1
2,2026-06-12 11:11:10.542567,121839170,0,1
3,2026-06-12 11:11:13.674528,121839170,0,1
OPEN,2026-06-12 11:11:40.466370,0,0
1,2026-06-12 11:12:07.652234,121839170,0,1
1,2026-06-12 11:12:07.652234,121839170,22.205,1
2,2026-06-12 11:12:34.764591,121839170,0,1
OPEN,2026-06-12 11:12:47.652871,0,0
1,2026-06-12 11:12:54.094752,121839170,0,1
1,2026-06-12 11:12:54.094752,121839170,21.485,1
OPEN,2026-06-12 11:13:36.415384,0,0
1,2026-06-12 11:19:11.976678,12186133157,0,1
1,2026-06-12 11:19:11.976678,12186133157,10.99,1
OPEN,2026-06-12 11:19:51.977404,0,0
1,2026-06-12 11:22:10.948178,1218496122,0,1
1,2026-06-12 11:22:10.948178,1218496122,21.63,1
999,2026-06-12 11:22:36.484065,1102000232,999,1
2,2026-06-12 11:22:36.488774,1218496122,0,1
OPEN,2026-06-12 11:22:50.948701,0,0
1,2026-06-12 11:23:20.896807,1218496122,0,1
1,2026-06-12 11:23:20.896807,1218496122,10.28,1
2,2026-06-12 11:23:33.260366,1218496122,0,1
OPEN,2026-06-12 11:24:10.424765,0,0
1,2026-06-12 11:24:45.556744,1218496122,0,1
1,2026-06-12 11:24:45.556744,1218496122,21.84,1
2,2026-06-12 11:24:59.624912,1218496122,0,1
OPEN,2026-06-12 11:25:30.975546,0,0
1,2026-06-12 11:33:06.470066,121839170,0,1
1,2026-06-12 11:33:06.470066,121839170,22.095,1
2,2026-06-12 11:33:17.014454,121839170,0,1
OPEN,2026-06-12 11:33:46.470731,0,0
1,2026-06-12 11:35:39.845615,121836132,0,1
1,2026-06-12 11:35:39.845615,121836132,0,1
OPEN,2026-06-12 11:36:19.846104,0,0
1,2026-06-12 13:23:11.650,121859271,0,1
1,2026-06-12 13:23:11.650,121859271,22.02,1
2,2026-06-12 13:23:33.628342,121859271,0,1
OPEN,2026-06-12 13:23:51.650608,0,0
1,2026-06-12 13:33:10.509225,1218496122,0,1
1,2026-06-12 13:33:10.509225,1218496122,21.76,1
2,2026-06-12 13:33:36.764793,1218496122,0,1
OPEN,2026-06-12 13:33:50.509896,0,0
1,2026-06-12 13:49:04.078905,12186133157,0,1
1,2026-06-12 13:49:04.078905,12186133157,20.71,1
2,2026-06-12 13:49:12.539869,12186133157,0,1
OPEN,2026-06-12 13:49:44.079537,0,0
1,2026-06-12 14:02:38.518665,121836132,0,1
1,2026-06-12 14:02:38.518665,121836132,10.365,1
OPEN,2026-06-12 14:03:18.519372,0,0
1,2026-06-12 14:09:28.985316,1218496122,0,1
1,2026-06-12 14:09:28.985316,1218496122,21.905,1
2,2026-06-12 14:09:50.641494,1218496122,0,1
OPEN,2026-06-12 14:10:08.985881,0,0
999,2026-06-12 14:14:47.924268,1102000232,999,1
1,2026-06-12 14:14:47.929191,1218496122,0,1
1,2026-06-12 14:14:47.929191,1218496122,19.015,1
2,2026-06-12 14:15:06.840010,1218496122,0,1
OPEN,2026-06-12 14:15:27.929811,0,0
1,2026-06-12 14:16:16.710615,1218496122,0,1
1,2026-06-12 14:16:16.710615,1218496122,21.91,1
OPEN,2026-06-12 14:16:58.549177,0,0
1,2026-06-12 14:18:50.342033,121839170,0,1
1,2026-06-12 14:18:50.342033,121839170,22.45,1
2,2026-06-12 14:19:15.275319,121839170,0,1
OPEN,2026-06-12 14:19:30.342652,0,0
1,2026-06-12 14:20:00.741559,1218496122,0,1
1,2026-06-12 14:20:00.741559,1218496122,21.56,1
2,2026-06-12 14:20:18.755505,1218496122,0,1
OPEN,2026-06-12 14:20:40.742178,0,0
1,2026-06-12 14:21:00.826998,121839170,0,1
1,2026-06-12 14:21:00.826998,121839170,22.61,1
2,2026-06-12 14:21:23.843809,121839170,0,1
OPEN,2026-06-12 14:21:40.827590,0,0
1,2026-06-12 14:24:32.468734,1218496122,0,1
1,2026-06-12 14:24:32.468734,1218496122,21.6,1
2,2026-06-12 14:24:56.537754,1218496122,0,1
OPEN,2026-06-12 14:25:12.469359,0,0
1,2026-06-12 14:25:58.000133,121859271,0,1
2,2026-06-12 14:25:59.823913,121859271,0,1
2,2026-06-12 14:25:59.823913,121859271,21.735,1
OPEN,2026-06-12 14:26:41.252829,0,0
1,2026-06-12 14:34:25.947216,12186133157,0,1
1,2026-06-12 14:34:25.947216,12186133157,21.005000000000003,1
OPEN,2026-06-12 14:35:06.591997,0,0
1,2026-06-12 14:40:40.351396,121839170,0,1
1,2026-06-12 14:40:40.351396,121839170,22.744999999999997,1
2,2026-06-12 14:41:01.623483,121839170,0,1
OPEN,2026-06-12 14:41:20.352033,0,0
999,2026-06-12 14:41:46.918806,1102000232,999,1
1,2026-06-12 14:41:46.924401,1218496122,0,1
1,2026-06-12 14:41:46.924401,1218496122,21.21,1
2,2026-06-12 14:42:05.457175,1218496122,0,1
OPEN,2026-06-12 14:42:26.925052,0,0
1,2026-06-12 14:47:27.590,1218496122,0,1
1,2026-06-12 14:47:27.590,1218496122,21.275,1
2,2026-06-12 14:47:49.516289,1218496122,0,1
OPEN,2026-06-12 14:48:07.590626,0,0
1,2026-06-12 14:51:08.839339,1218496122,0,1
1,2026-06-12 14:51:08.839339,1218496122,21.425,1
2,2026-06-12 14:51:19.434976,121839170,0,1
3,2026-06-12 14:51:50.564313,121839170,0,1
OPEN,2026-06-12 14:52:12.728538,0,0
1,2026-06-12 14:52:54.653966,121839170,0,1
1,2026-06-12 14:52:54.653966,121839170,22.455,1
OPEN,2026-06-12 14:53:47.876079,0,0
1,2026-06-12 14:55:23.111043,1218496122,0,1
1,2026-06-12 14:55:23.111043,1218496122,21.52,1
1,2026-06-12 14:56:23.805631,1218496122,0,2
solo,2026-06-12 14:56:24.010580,0,0
1,2026-06-12 14:56:23.805631,1218496122,0,2
2,2026-06-12 14:56:48.261184,1218496122,0,1
OPEN,2026-06-12 14:57:28.264039,0,0
1,2026-06-12 15:02:10.030741,1218496122,0,1
1,2026-06-12 15:02:10.030741,1218496122,21.560000000000002,1
1,2026-06-12 15:03:45.597537,1218496122,0,2
solo,2026-06-12 15:03:45.803131,0,0
2,2026-06-12 15:03:47.623979,1218496122,0,2
2,2026-06-12 15:03:47.623979,1218496122,20.33,2
OPEN,2026-06-12 15:04:27.626566,0,0
1,2026-06-12 15:05:47.600465,1218496122,0,2
1,2026-06-12 15:05:47.600465,1218496122,12.135,2
OPEN,2026-06-12 15:06:27.601105,0,0
1,2026-06-12 15:09:13.730626,121836132,0,1
1,2026-06-12 15:09:13.730626,121836132,10.39,1
OPEN,2026-06-12 15:09:53.731308,0,0
1,2026-06-12 15:13:25.341844,1218496122,0,2
1,2026-06-12 15:13:25.341844,1218496122,10.13,2
OPEN,2026-06-12 15:14:05.342507,0,0
1,2026-06-12 15:20:15.725298,121859271,0,1
1,2026-06-12 15:20:15.725298,121859271,21.61,1
2,2026-06-12 15:20:20.390761,121859271,0,1
3,2026-06-12 15:20:42.213112,121859271,0,1
OPEN,2026-06-12 15:20:55.725900,0,0
1,2026-06-12 15:21:55.198915,1218496122,0,2
1,2026-06-12 15:21:55.198915,1218496122,10.38,2
OPEN,2026-06-12 15:22:35.199549,0,0
1,2026-06-12 15:23:12.777949,121859271,0,1
1,2026-06-12 15:23:12.777949,121859271,21.814999999999998,1
2,2026-06-12 15:23:19.149082,121859271,0,1
OPEN,2026-06-12 15:24:03.435852,0,0
999,2026-06-12 15:24:48.203439,1102000232,999,1
1,2026-06-12 15:24:48.209085,121836132,0,1
1,2026-06-12 15:24:48.209085,121836132,11.68,1
OPEN,2026-06-12 15:25:28.209644,0,0
1,2026-06-12 15:26:28.894971,121836132,0,1
1,2026-06-12 15:26:28.894971,121836132,17.065,1
OPEN,2026-06-12 15:27:08.895648,0,0
1,2026-06-12 15:30:34.799416,121859271,0,1
2,2026-06-12 15:30:38.237596,121859271,0,1
2,2026-06-12 15:30:38.237596,121859271,21.355,1
3,2026-06-12 15:31:01.815482,121859271,0,1
OPEN,2026-06-12 15:31:14.799920,0,0
1,2026-06-12 15:35:05.419669,12186133157,0,1
1,2026-06-12 15:35:05.419669,12186133157,20.785,1
1,2026-06-12 15:35:21.176347,1218496122,0,2
start Lindzey,2026-06-12 15:35:23.401085,0,0
1,2026-06-12 15:35:21.176347,1218496122,13.55,2
2,2026-06-12 15:35:59.539665,12186133157,0,1
End Lindzey,2026-06-12 15:36:29.542108,0,0
OPEN,2026-06-12 15:36:39.542509,0,0
1,2026-06-12 15:37:07.400811,121859271,0,1
1,2026-06-12 15:37:07.400811,121859271,21.555,1
2,2026-06-12 15:37:15.951105,121859271,0,1
OPEN,2026-06-12 15:37:47.401321,0,0
1,2026-06-12 15:38:33.363024,121859271,0,1
1,2026-06-12 15:38:33.363024,121859271,21.785,1
2,2026-06-12 15:38:53.320383,121859271,0,1
OPEN,2026-06-12 15:39:13.363615,0,0
1,2026-06-12 15:41:23.543843,121836132,0,1
1,2026-06-12 15:41:23.543843,121836132,0,1
OPEN,2026-06-12 15:42:03.544472,0,0
1,2026-06-12 15:42:37.746018,12186133157,0,1
1,2026-06-12 15:42:37.746018,12186133157,20.939999999999998,1
1,2026-06-12 15:43:02.438293,1218496122,0,2
start Lindzey,2026-06-12 15:43:05.471855,0,0
1,2026-06-12 15:43:02.438293,1218496122,10.8,2
2,2026-06-12 15:43:21.939228,12186133157,0,1
End Lindzey,2026-06-12 15:43:51.941273,0,0
OPEN,2026-06-12 15:44:01.941679,0,0
1,2026-06-12 15:45:40.820958,1218496122,0,2
1,2026-06-12 15:45:40.820958,1218496122,10.77,2
OPEN,2026-06-12 15:46:20.821536,0,0
1,2026-06-12 15:48:38.011667,1218496122,0,2
1,2026-06-12 15:48:38.011667,1218496122,0,2
OPEN,2026-06-12 15:49:18.012245,0,0
1,2026-06-12 15:51:57.961748,1218496122,0,2
1,2026-06-12 15:51:57.961748,1218496122,10.03,2
OPEN,2026-06-12 15:52:37.962308,0,0
1,2026-06-12 16:01:00.295007,1218496122,0,2
1,2026-06-12 16:01:00.295007,1218496122,10.15,2
OPEN,2026-06-12 16:01:40.295605,0,0
1,2026-06-12 16:09:04.491874,1218496122,0,2
1,2026-06-12 16:09:04.491874,1218496122,10.17,2
OPEN,2026-06-12 16:09:44.492497,0,0
1,2026-06-12 16:10:01.523279,1218496122,0,2
1,2026-06-12 16:10:01.523279,1218496122,10.85,2
OPEN,2026-06-12 16:10:41.523856,0,0
1,2026-06-12 16:11:23.304516,1218496122,0,2
1,2026-06-12 16:11:23.304516,1218496122,12.33,2
OPEN,2026-06-12 16:12:03.305009,0,0
1,2026-06-12 16:12:42.608089,1218496122,0,2
1,2026-06-12 16:12:42.608089,1218496122,12.51,2
OPEN,2026-06-12 16:13:22.608818,0,0
999,2026-06-12 16:20:59.283348,1102000232,999,2
1,2026-06-12 16:20:59.288819,1218496122,0,2
1,2026-06-12 16:20:59.288819,1218496122,10.43,2
OPEN,2026-06-12 16:21:39.289440,0,0
1,2026-06-12 16:43:38.012920,1218496122,0,2
1,2026-06-12 16:43:38.012920,1218496122,10.89,2
OPEN,2026-06-12 16:44:18.013641,0,0
1,2026-06-12 16:44:59.447024,1218496122,0,2
1,2026-06-12 16:44:59.447024,1218496122,10.92,2
OPEN,2026-06-12 16:45:39.447666,0,0
