Mode,Start_Time,Animal,Weight,Unit
initialize,2026-06-15 00:57:58.082172,0,-0.02,1
initialize,2026-06-15 00:57:58.284238,0,0.06,2
OPEN,2026-06-15 00:58:05.511431,0,0
1,2026-06-15 01:03:29.907683,121839170,0,2
1,2026-06-15 01:03:29.907683,121839170,15.46,2
OPEN,2026-06-15 01:04:09.908189,0,0
1,2026-06-15 03:21:34.050819,1218496122,0,2
1,2026-06-15 03:21:34.050819,1218496122,12.05,2
OPEN,2026-06-15 03:22:14.051541,0,0
1,2026-06-15 03:24:15.176129,1218496122,0,2
1,2026-06-15 03:24:15.176129,1218496122,13.31,2
OPEN,2026-06-15 03:24:55.176864,0,0
1,2026-06-15 03:25:34.662898,121836132,0,2
1,2026-06-15 03:25:34.662898,121836132,11.92,2
OPEN,2026-06-15 03:26:14.663612,0,0
1,2026-06-15 03:31:29.181079,121836132,0,2
1,2026-06-15 03:31:29.181079,121836132,12.7,2
OPEN,2026-06-15 03:32:09.181779,0,0
1,2026-06-15 03:36:35.600885,1218496122,0,2
1,2026-06-15 03:36:35.600885,1218496122,12.54,2
OPEN,2026-06-15 03:37:15.601506,0,0
1,2026-06-15 06:09:17.070767,121859271,0,2
1,2026-06-15 06:09:17.070767,121859271,15.61,2
OPEN,2026-06-15 06:09:57.071341,0,0
1,2026-06-15 06:12:50.282342,121836132,0,2
1,2026-06-15 06:12:50.282342,121836132,14.58,2
OPEN,2026-06-15 06:13:30.282970,0,0
1,2026-06-15 06:43:06.309005,1218496122,0,2
1,2026-06-15 06:43:06.309005,1218496122,11.58,2
OPEN,2026-06-15 06:43:46.309741,0,0
999,2026-06-15 06:45:27.951021,1102000232,999,2
1,2026-06-15 06:45:27.956665,1218496122,0,2
1,2026-06-15 06:45:27.956665,1218496122,11.3,2
OPEN,2026-06-15 06:46:07.957146,0,0
1,2026-06-15 06:53:15.447383,121839170,0,2
1,2026-06-15 06:53:15.447383,121839170,0,2
OPEN,2026-06-15 06:53:55.448002,0,0
