Mode,Start_Time,Animal,Weight,Unit
1,2026-06-16 00:16:53.548573,12186133157,0,2
1,2026-06-16 00:16:53.548573,12186133157,12.594999999999999,2
OPEN,2026-06-16 00:17:33.549065,0,0
1,2026-06-16 00:20:31.349173,12186133157,0,2
1,2026-06-16 00:20:31.349173,12186133157,12.66,2
OPEN,2026-06-16 00:21:11.349829,0,0
1,2026-06-16 01:49:26.120399,1218496122,0,2
1,2026-06-16 01:49:26.120399,1218496122,10.72,2
OPEN,2026-06-16 01:50:06.120936,0,0
1,2026-06-16 02:04:35.631963,1218496122,0,2
1,2026-06-16 02:04:35.631963,1218496122,12.78,2
OPEN,2026-06-16 02:05:15.632614,0,0
1,2026-06-16 02:08:46.864033,1218496122,0,2
1,2026-06-16 02:08:46.864033,1218496122,11.195,2
OPEN,2026-06-16 02:09:26.864629,0,0
1,2026-06-16 02:12:57.002889,1218496122,0,2
1,2026-06-16 02:12:57.002889,1218496122,13.855,2
OPEN,2026-06-16 02:13:37.003547,0,0
1,2026-06-16 02:43:14.484092,121836132,0,2
1,2026-06-16 02:43:14.484092,121836132,13.870000000000001,2
OPEN,2026-06-16 02:43:54.484751,0,0
1,2026-06-16 04:20:41.307199,12186133157,0,2
1,2026-06-16 04:20:41.307199,12186133157,12.69,2
OPEN,2026-06-16 04:21:21.307790,0,0
1,2026-06-16 04:41:37.288658,1218496122,0,2
1,2026-06-16 04:41:37.288658,1218496122,13.535,2
OPEN,2026-06-16 04:42:17.289201,0,0
1,2026-06-16 04:47:01.613900,1218496122,0,2
1,2026-06-16 04:47:01.613900,1218496122,10.344999999999999,2
OPEN,2026-06-16 04:47:41.614378,0,0
1,2026-06-16 04:47:59.986173,1218496122,0,2
1,2026-06-16 04:47:59.986173,1218496122,11.74,2
OPEN,2026-06-16 04:48:39.986635,0,0
1,2026-06-16 06:49:40.153623,121836132,0,2
1,2026-06-16 06:49:40.153623,121836132,12.2,2
OPEN,2026-06-16 06:50:20.154226,0,0
1,2026-06-16 07:14:20.043906,12186133157,0,2
1,2026-06-16 07:14:20.043906,12186133157,11.99,2
OPEN,2026-06-16 07:15:00.044558,0,0
1,2026-06-16 08:02:19.152659,121859271,0,2
1,2026-06-16 08:02:19.152659,121859271,11.995,2
OPEN,2026-06-16 08:02:59.153300,0,0
999,2026-06-16 08:48:26.554606,1102000232,999,2
1,2026-06-16 08:48:26.559426,121836132,0,2
1,2026-06-16 08:48:26.559426,121836132,12.985,2
OPEN,2026-06-16 08:49:06.560030,0,0
1,2026-06-16 08:49:26.808037,1218496122,0,2
