Mode,Start_Time,Animal,Weight,Unit
0,2026-05-29 00:00:01.555770,1218496122,10.15,2
solo,2026-05-29 00:00:01.760318,0,0
OPEN,2026-05-29 00:00:21.761084,0,0
0,2026-05-29 00:00:29.091949,121839170,6.46,1
1,2026-05-29 00:00:35.071469,1218496122,-0.83,1
2,2026-05-29 00:00:39.188365,1218496122,-6.64,1
3,2026-05-29 00:00:43.382739,1218496122,-11.36,1
4,2026-05-29 00:00:44.330427,121839170,2.47,1
0,2026-05-29 00:01:05.841921,1218496122,15.99,2
sequence,2026-05-29 00:01:06.046658,0,0
5,2026-05-29 00:01:06.198102,12186133157,6.92,1
6,2026-05-29 00:01:07.503322,12186133157,24.43,1
1,2026-05-29 00:01:08.622992,121839170,18.86,2
followerB,2026-05-29 00:01:08.828027,0,0
2,2026-05-29 00:01:14.923052,12186133157,3.98,2
followerB,2026-05-29 00:01:15.128220,0,0
3,2026-05-29 00:01:21.681579,121839170,23.14,2
4,2026-05-29 00:01:22.819927,1218496122,19.84,2
5,2026-05-29 00:01:24.636705,12186133157,28.01,2
6,2026-05-29 00:01:26.919411,121836132,28.58,2
followerB,2026-05-29 00:01:27.124682,0,0
7,2026-05-29 00:01:30.913897,121839170,-14.29,1
8,2026-05-29 00:01:32.849110,1218496122,23.4,1
9,2026-05-29 00:01:41.153951,12186133157,-51.62,1
10,2026-05-29 00:01:45.678410,121836132,-5.15,1
OPEN,2026-05-29 00:02:05.883020,0,0
0,2026-05-29 00:02:08.833908,12186133157,0.1,1
OPEN,2026-05-29 00:02:29.321104,0,0
0,2026-05-29 00:02:29.927291,121859271,23.97,2
0,2026-05-29 00:02:33.952116,121836132,-6.59,1
start Lindzey,2026-05-29 00:02:35.459201,0,0
1,2026-05-29 00:02:38.375677,121859271,4.06,1
End Lindzey,2026-05-29 00:02:48.580030,0,0
OPEN,2026-05-29 00:02:58.580351,0,0
0,2026-05-29 00:03:04.619047,121836132,11.86,1
0,2026-05-29 00:03:10.659338,121836132,10.14,2
solo,2026-05-29 00:03:10.863402,0,0
1,2026-05-29 00:03:20.791230,121859271,23.42,1
1,2026-05-29 00:03:24.310764,121859271,20.89,2
followerB,2026-05-29 00:03:24.514073,0,0
OPEN,2026-05-29 00:03:44.516585,0,0
0,2026-05-29 00:03:57.104566,121836132,-22.5,2
1,2026-05-29 00:04:02.322968,121859271,23.04,2
2,2026-05-29 00:04:03.737792,121839170,15.29,2
OPEN,2026-05-29 00:04:23.738395,0,0
0,2026-05-29 00:04:27.832864,121859271,-19.23,1
0,2026-05-29 00:04:33.172852,121836132,21.76,2
start Lindzey,2026-05-29 00:04:37.100308,0,0
1,2026-05-29 00:04:41.755393,121836132,-84.11,1
End Lindzey,2026-05-29 00:04:51.959723,0,0
OPEN,2026-05-29 00:05:01.960329,0,0
0,2026-05-29 00:05:34.538413,12186133157,24.35,2
0,2026-05-29 00:05:35.637268,121839170,11.64,1
start Lindzey,2026-05-29 00:05:35.967504,0,0
1,2026-05-29 00:05:42.763219,121836132,-8.99,1
1,2026-05-29 00:06:15.960333,12186133157,23.05,2
2,2026-05-29 00:06:17.740099,121839170,13.14,2
followerB,2026-05-29 00:06:17.944875,0,0
3,2026-05-29 00:06:19.754180,121836132,29.93,2
followerB,2026-05-29 00:06:19.958639,0,0
End Lindzey,2026-05-29 00:06:29.960719,0,0
OPEN,2026-05-29 00:06:39.961145,0,0
0,2026-05-29 00:07:00.813093,121859271,20.16,1
0,2026-05-29 00:07:04.515868,121859271,16.95,2
solo,2026-05-29 00:07:04.721506,0,0
OPEN,2026-05-29 00:07:24.722292,0,0
0,2026-05-29 00:07:35.991767,12186133157,-46.25,1
OPEN,2026-05-29 00:07:55.992471,0,0
0,2026-05-29 00:08:15.316313,121859271,11.3,2
0,2026-05-29 00:08:19.671367,1218496122,-20.53,1
1,2026-05-29 00:08:20.855473,121859271,-4.21,1
followerA,2026-05-29 00:08:21.059996,0,0
sequence,2026-05-29 00:08:21.850520,0,0
OPEN,2026-05-29 00:08:41.851217,0,0
0,2026-05-29 00:09:20.209433,121836132,22.44,2
0,2026-05-29 00:09:27.496144,121836132,-76.02,1
solo,2026-05-29 00:09:27.906112,0,0
1,2026-05-29 00:09:34.651285,121836132,43.6,1
