Mode,Start_Time,Animal,Weight,Unit
999,2026-06-24 00:00:28.158452,1102000232,999,2
1,2026-06-24 00:00:28.163498,121859271,0,2
1,2026-06-24 00:00:28.163498,121859271,25.17,2
1,2026-06-24 00:00:39.793030,121859271,0,1
solo,2026-06-24 00:00:39.997652,0,0
1,2026-06-24 00:00:39.793030,121859271,24.375,1
OPEN,2026-06-24 00:01:19.998840,0,0
1,2026-06-24 00:09:32.611348,121839170,0,1
1,2026-06-24 00:09:32.611348,121839170,25.09,1
1,2026-06-24 00:09:48.605302,121839170,0,2
solo,2026-06-24 00:09:48.809853,0,0
1,2026-06-24 00:09:48.605302,121839170,25.310000000000002,2
OPEN,2026-06-24 00:10:28.810586,0,0
1,2026-06-24 00:18:10.456574,121839170,0,2
1,2026-06-24 00:18:10.456574,121839170,23.62,2
1,2026-06-24 00:18:28.926722,121839170,0,1
solo,2026-06-24 00:18:29.130400,0,0
1,2026-06-24 00:18:28.926722,121839170,25.535,1
OPEN,2026-06-24 00:19:09.131110,0,0
1,2026-06-24 01:19:49.834944,12186133157,0,1
1,2026-06-24 01:19:49.834944,12186133157,0,1
OPEN,2026-06-24 01:20:29.835718,0,0
1,2026-06-24 01:30:24.285272,121859271,0,1
1,2026-06-24 01:30:24.285272,121859271,23.54,1
1,2026-06-24 01:30:34.812824,121859271,0,2
solo,2026-06-24 01:30:35.016189,0,0
1,2026-06-24 01:30:34.812824,121859271,24.925,2
OPEN,2026-06-24 01:31:15.016929,0,0
1,2026-06-24 01:33:13.097427,121859271,0,2
1,2026-06-24 01:33:13.097427,121859271,25.03,2
1,2026-06-24 01:33:25.293822,121859271,0,1
solo,2026-06-24 01:33:25.497465,0,0
1,2026-06-24 01:33:25.293822,121859271,23.425,1
OPEN,2026-06-24 01:34:05.498133,0,0
1,2026-06-24 01:43:56.966206,121836132,0,1
1,2026-06-24 01:43:56.966206,121836132,22.14,1
1,2026-06-24 01:44:02.201680,121836132,0,2
solo,2026-06-24 01:44:02.405689,0,0
1,2026-06-24 01:44:02.201680,121836132,23.545,2
OPEN,2026-06-24 01:44:42.406501,0,0
1,2026-06-24 01:54:38.349615,121836132,0,2
1,2026-06-24 01:54:38.349615,121836132,23.355,2
1,2026-06-24 01:54:47.914544,121836132,0,1
solo,2026-06-24 01:54:48.118475,0,0
1,2026-06-24 01:54:47.914544,121836132,21.939999999999998,1
OPEN,2026-06-24 01:55:28.119227,0,0
1,2026-06-24 02:37:02.140975,1218496122,0,1
1,2026-06-24 02:37:02.140975,1218496122,20.5,1
1,2026-06-24 02:37:14.294350,1218496122,0,2
solo,2026-06-24 02:37:14.497956,0,0
1,2026-06-24 02:37:14.294350,1218496122,24.48,2
OPEN,2026-06-24 02:37:54.498678,0,0
1,2026-06-24 02:48:56.761955,1218496122,0,2
1,2026-06-24 02:48:56.761955,1218496122,24.5,2
1,2026-06-24 02:49:04.728396,1218496122,0,1
solo,2026-06-24 02:49:04.931989,0,0
1,2026-06-24 02:49:04.728396,1218496122,24.36,1
OPEN,2026-06-24 02:49:44.932601,0,0
999,2026-06-24 02:50:28.935118,1102000232,999,1
1,2026-06-24 02:50:28.940559,12186133157,0,1
1,2026-06-24 02:50:28.940559,12186133157,24.67,1
1,2026-06-24 02:50:44.043226,12186133157,0,2
solo,2026-06-24 02:50:44.247704,0,0
1,2026-06-24 02:50:44.043226,12186133157,25.755000000000003,2
OPEN,2026-06-24 02:51:24.248320,0,0
1,2026-06-24 02:52:36.744895,1218496122,0,1
1,2026-06-24 02:52:36.744895,1218496122,24.855,1
1,2026-06-24 02:53:15.645820,1218496122,0,2
solo,2026-06-24 02:53:15.850216,0,0
1,2026-06-24 02:53:15.645820,1218496122,24.72,2
OPEN,2026-06-24 02:53:55.850931,0,0
1,2026-06-24 03:11:14.668356,12186133157,0,2
2,2026-06-24 03:11:16.898332,12186133157,0,2
2,2026-06-24 03:11:16.898332,12186133157,19.015,2
1,2026-06-24 03:11:39.208104,12186133157,0,1
solo,2026-06-24 03:11:39.411664,0,0
1,2026-06-24 03:11:39.208104,12186133157,24.58,1
OPEN,2026-06-24 03:12:19.412470,0,0
1,2026-06-24 03:16:14.016336,1218496122,0,2
1,2026-06-24 03:16:15.032487,12186133157,0,1
start Lindzey,2026-06-24 03:16:19.887296,0,0
1,2026-06-24 03:16:14.016336,1218496122,24.94,2
1,2026-06-24 03:16:15.032487,12186133157,25.04,1
2,2026-06-24 03:16:26.993123,1218496122,0,1
End Lindzey,2026-06-24 03:16:56.995654,0,0
OPEN,2026-06-24 03:17:06.995984,0,0
1,2026-06-24 03:17:48.158619,12186133157,0,2
1,2026-06-24 03:17:48.158619,12186133157,0,2
1,2026-06-24 03:18:04.802480,1218496122,0,1
start Lindzey,2026-06-24 03:18:06.018047,0,0
1,2026-06-24 03:18:04.802480,1218496122,16.77,1
2,2026-06-24 03:18:12.575938,12186133157,0,2
3,2026-06-24 03:18:14.482717,1218496122,0,2
End Lindzey,2026-06-24 03:18:44.485035,0,0
OPEN,2026-06-24 03:18:54.485502,0,0
1,2026-06-24 03:18:58.784737,12186133157,0,2
1,2026-06-24 03:18:58.784737,12186133157,26.035,2
OPEN,2026-06-24 03:19:38.785411,0,0
1,2026-06-24 03:19:49.083141,12186133157,0,2
