Mode,Start_Time,Animal,Weight,Unit
1,2026-06-26 00:48:02.339908,121859271,0,1
1,2026-06-26 00:48:02.339908,121859271,23.44,1
1,2026-06-26 00:48:10.691785,121859271,0,2
solo,2026-06-26 00:48:10.896938,0,0
1,2026-06-26 00:48:10.691785,121859271,26.55,2
OPEN,2026-06-26 00:48:50.897647,0,0
1,2026-06-26 00:52:24.981048,1218496122,0,1
1,2026-06-26 00:52:24.981048,1218496122,22.705,1
1,2026-06-26 00:52:43.609738,1218496122,0,2
solo,2026-06-26 00:52:43.814373,0,0
2,2026-06-26 00:52:44.829734,1218496122,0,2
2,2026-06-26 00:52:44.829734,1218496122,0,2
OPEN,2026-06-26 00:53:24.832178,0,0
1,2026-06-26 00:54:13.191329,121859271,0,2
1,2026-06-26 00:54:13.191329,121859271,26.205,2
1,2026-06-26 00:54:23.390625,121859271,0,1
solo,2026-06-26 00:54:23.594685,0,0
1,2026-06-26 00:54:23.390625,121859271,23.4,1
OPEN,2026-06-26 00:55:03.595460,0,0
1,2026-06-26 01:02:29.691398,121859271,0,1
1,2026-06-26 01:02:29.691398,121859271,23.56,1
1,2026-06-26 01:02:37.000435,121859271,0,2
solo,2026-06-26 01:02:37.205212,0,0
1,2026-06-26 01:02:37.000435,121859271,27.015,2
OPEN,2026-06-26 01:03:17.205983,0,0
1,2026-06-26 01:04:38.550564,1218496122,0,2
1,2026-06-26 01:04:38.550564,1218496122,25.43,2
1,2026-06-26 01:04:47.476446,1218496122,0,1
solo,2026-06-26 01:04:47.680889,0,0
1,2026-06-26 01:04:47.476446,1218496122,22.494999999999997,1
OPEN,2026-06-26 01:05:27.681513,0,0
1,2026-06-26 01:06:49.810665,1218496122,0,1
1,2026-06-26 01:06:49.810665,1218496122,22.82,1
1,2026-06-26 01:07:05.300774,1218496122,0,2
solo,2026-06-26 01:07:05.505015,0,0
1,2026-06-26 01:07:05.300774,1218496122,25.28,2
OPEN,2026-06-26 01:07:45.506005,0,0
1,2026-06-26 01:08:10.360583,121836132,0,1
1,2026-06-26 01:08:10.360583,121836132,21.27,1
1,2026-06-26 01:08:33.185862,121836132,0,2
solo,2026-06-26 01:08:33.390015,0,0
2,2026-06-26 01:08:34.809910,121836132,0,2
2,2026-06-26 01:08:34.809910,121836132,24.0,2
OPEN,2026-06-26 01:09:14.812226,0,0
1,2026-06-26 01:09:41.527997,12186133157,0,1
1,2026-06-26 01:09:41.527997,12186133157,14.03,1
OPEN,2026-06-26 01:10:21.528666,0,0
1,2026-06-26 01:13:18.832966,121836132,0,2
1,2026-06-26 01:13:18.832966,121836132,23.8,2
999,2026-06-26 01:13:33.074942,1102000232,999,1
1,2026-06-26 01:13:33.079750,121836132,0,1
solo,2026-06-26 01:13:33.283318,0,0
1,2026-06-26 01:13:33.079750,121836132,22.48,1
OPEN,2026-06-26 01:14:13.284110,0,0
1,2026-06-26 01:14:16.027977,121836132,0,2
2,2026-06-26 01:14:18.862587,121836132,0,2
3,2026-06-26 01:14:19.876583,121836132,0,2
3,2026-06-26 01:14:19.876583,121836132,24.05,2
OPEN,2026-06-26 01:14:56.028657,0,0
1,2026-06-26 01:15:11.702731,121859271,0,2
1,2026-06-26 01:15:11.702731,121859271,26.59,2
OPEN,2026-06-26 01:15:51.703299,0,0
1,2026-06-26 01:15:57.733516,121859271,0,2
1,2026-06-26 01:15:57.733516,121859271,25.759999999999998,2
OPEN,2026-06-26 01:16:37.734176,0,0
1,2026-06-26 01:17:06.343584,1218496122,0,2
1,2026-06-26 01:17:06.343584,1218496122,25.54,2
OPEN,2026-06-26 01:17:46.344169,0,0
1,2026-06-26 01:19:31.332904,121839170,0,1
1,2026-06-26 01:19:31.332904,121839170,22.18,1
1,2026-06-26 01:19:58.714201,121839170,0,2
solo,2026-06-26 01:19:58.919365,0,0
1,2026-06-26 01:19:58.714201,121839170,26.86,2
OPEN,2026-06-26 01:20:38.920041,0,0
999,2026-06-26 01:21:09.800277,1102000232,999,2
1,2026-06-26 01:21:09.805049,121836132,0,2
1,2026-06-26 01:21:09.805049,121836132,24.465000000000003,2
OPEN,2026-06-26 01:21:49.805790,0,0
1,2026-06-26 01:22:05.135484,1218496122,0,2
1,2026-06-26 01:22:05.135484,1218496122,25.509999999999998,2
OPEN,2026-06-26 01:22:45.136102,0,0
1,2026-06-26 01:23:04.095356,121836132,0,2
1,2026-06-26 01:23:04.095356,121836132,24.05,2
2,2026-06-26 01:23:29.095644,121836132,0,2
OPEN,2026-06-26 01:23:44.095923,0,0
1,2026-06-26 01:23:52.368538,121836132,0,2
1,2026-06-26 01:23:52.368538,121836132,23.835,2
OPEN,2026-06-26 01:24:32.369194,0,0
1,2026-06-26 01:24:38.632017,12186133157,0,1
2,2026-06-26 01:24:40.251472,12186133157,0,1
2,2026-06-26 01:24:40.251472,12186133157,19.26,1
OPEN,2026-06-26 01:25:18.634528,0,0
1,2026-06-26 01:28:34.824422,121859271,0,2
1,2026-06-26 01:28:34.824422,121859271,26.47,2
1,2026-06-26 01:28:48.190993,121859271,0,1
solo,2026-06-26 01:28:48.395613,0,0
2,2026-06-26 01:28:48.603590,1218496122,0,2
1,2026-06-26 01:28:48.190993,121859271,23.55,1
2,2026-06-26 01:28:55.368154,1218496122,0,1
OPEN,2026-06-26 01:29:35.370936,0,0
1,2026-06-26 01:31:31.382170,121859271,0,1
1,2026-06-26 01:31:31.382170,121859271,24.03,1
1,2026-06-26 01:31:50.621256,121859271,0,2
solo,2026-06-26 01:31:50.825137,0,0
1,2026-06-26 01:31:50.621256,121859271,27.55,2
2,2026-06-26 01:32:05.132336,121859271,0,2
3,2026-06-26 01:32:14.118165,121859271,0,2
4,2026-06-26 01:32:27.700927,121839170,0,2
2,2026-06-26 01:32:42.079390,121839170,0,1
5,2026-06-26 01:32:42.552813,121836132,0,2
3,2026-06-26 01:32:49.543832,121836132,0,1
4,2026-06-26 01:33:12.372228,1218496122,0,1
6,2026-06-26 01:33:23.617635,1218496122,0,2
OPEN,2026-06-26 01:34:03.620046,0,0
1,2026-06-26 01:34:33.127986,121839170,0,1
1,2026-06-26 01:34:33.127986,121839170,23.28,1
1,2026-06-26 01:34:50.127785,121839170,0,2
solo,2026-06-26 01:34:50.331808,0,0
1,2026-06-26 01:34:50.127785,121839170,26.59,2
2,2026-06-26 01:35:09.911334,121859271,0,2
2,2026-06-26 01:35:17.344175,121859271,0,1
OPEN,2026-06-26 01:35:57.347150,0,0
1,2026-06-26 01:45:45.989743,121839170,0,2
1,2026-06-26 01:45:45.989743,121839170,26.29,2
1,2026-06-26 01:46:06.343921,121839170,0,1
solo,2026-06-26 01:46:06.548680,0,0
1,2026-06-26 01:46:06.343921,121839170,23.61,1
OPEN,2026-06-26 01:46:46.549462,0,0
1,2026-06-26 01:46:56.049265,121859271,0,1
1,2026-06-26 01:46:56.049265,121859271,24.25,1
1,2026-06-26 01:47:24.856099,121859271,0,2
solo,2026-06-26 01:47:25.060730,0,0
1,2026-06-26 01:47:24.856099,121859271,27.259999999999998,2
OPEN,2026-06-26 01:48:05.061450,0,0
1,2026-06-26 01:49:27.748274,121836132,0,1
1,2026-06-26 01:49:27.748274,121836132,21.51,1
1,2026-06-26 01:49:34.952064,121836132,0,2
solo,2026-06-26 01:49:35.155613,0,0
1,2026-06-26 01:49:34.952064,121836132,24.645000000000003,2
2,2026-06-26 01:49:39.422364,121836132,0,2
3,2026-06-26 01:49:51.368721,1218496122,0,2
2,2026-06-26 01:49:57.259296,1218496122,0,1
OPEN,2026-06-26 01:50:37.262190,0,0
999,2026-06-26 01:53:31.313124,1102000232,999,2
1,2026-06-26 01:53:31.318604,121859271,0,2
1,2026-06-26 01:53:31.318604,121859271,27.31,2
