Mode,Start_Time,Animal,Unit
0,2025-12-05 00:02:48.263845,12184255229,4
0,2025-12-05 00:02:49.632475,12184255229,3
OPEN,2025-12-05 00:03:09.633134,0,0
0,2025-12-05 00:03:12.905192,121856491,3
1,2025-12-05 00:03:15.125631,121856491,3
0,2025-12-05 00:03:20.257110,121856491,4
solo,2025-12-05 00:03:23.399843,0,0
OPEN,2025-12-05 00:03:43.400784,0,0
0,2025-12-05 00:05:41.904876,121858776,3
1,2025-12-05 00:05:43.276340,121858776,3
0,2025-12-05 00:05:45.804208,121858776,4
solo,2025-12-05 00:05:45.805895,0,0
OPEN,2025-12-05 00:06:05.806736,0,0
0,2025-12-05 00:06:08.965434,121856491,4
0,2025-12-05 00:06:22.127320,121856491,3
OPEN,2025-12-05 00:06:42.127898,0,0
0,2025-12-05 00:07:31.570877,12184255229,3
0,2025-12-05 00:07:37.571417,12184255229,4
solo,2025-12-05 00:07:37.895016,0,0
OPEN,2025-12-05 00:07:57.895744,0,0
0,2025-12-05 00:08:31.379142,12184255229,4
0,2025-12-05 00:08:32.388580,12184255229,3
solo,2025-12-05 00:08:32.390864,0,0
OPEN,2025-12-05 00:08:52.392293,0,0
0,2025-12-05 00:09:00.543283,12184240234,4
0,2025-12-05 00:09:02.236103,12184240234,3
solo,2025-12-05 00:09:02.238258,0,0
OPEN,2025-12-05 00:09:22.238926,0,0
0,2025-12-05 00:11:46.743221,121858776,4
0,2025-12-05 00:11:49.159332,121858776,3
solo,2025-12-05 00:11:56.045673,0,0
OPEN,2025-12-05 00:12:16.046643,0,0
0,2025-12-05 00:12:34.370137,12184255229,3
1,2025-12-05 00:12:35.485959,12184240234,3
followerA,2025-12-05 00:12:35.488248,0,0
sequence,2025-12-05 00:12:35.692038,0,0
0,2025-12-05 00:12:36.104397,12184255229,4
1,2025-12-05 00:12:37.201617,12184240234,4
OPEN,2025-12-05 00:12:57.203849,0,0
0,2025-12-05 00:13:04.102019,12184240234,4
0,2025-12-05 00:13:09.788808,121858776,3
1,2025-12-05 00:13:20.014866,121858776,3
2,2025-12-05 00:13:23.223073,12184240234,3
OPEN,2025-12-05 00:13:43.228509,0,0
0,2025-12-05 00:14:18.078876,121858776,3
1,2025-12-05 00:14:21.703625,121858776,3
2,2025-12-05 00:14:25.263179,121858776,3
3,2025-12-05 00:14:28.266988,121858776,3
0,2025-12-05 00:14:35.358350,121858776,4
solo,2025-12-05 00:14:35.897944,0,0
OPEN,2025-12-05 00:14:55.898550,0,0
